crawlDate;description;id;publishedDate;source;tags;tickers;title;url;dateTime
2019-04-17T10:47:53.526096Z;Only a small fraction of Alphabet's revenue is generated outside of the search and ad business, and the company faces a few challenges here. With a number of Ot;16334943;2019-04-17T10:45:00Z;seekingalpha.com;['Consumer Cyclical', 'Stock', 'Technology', 'The Investment Strategist'];['aapl', 'amzn', 'goog', 'googl'];What's Up, Doc? Google Health May Become The Company's Next Home Run;https://seekingalpha.com/article/4254953-doc-google-health-may-become-companys-next-home-run;2019-04-18 10:47:53
2019-04-17T10:49:45.669153Z;Must-read business news, delivered every morning. ;16334973;2019-04-17T10:29:45Z;fortune.com;['Ceo Daily', 'Consumer Cyclical', 'Consumer Defensive', 'Financial Services', 'Stock', 'Technology', 'Unknown Sector'];['aapl', 'amzn', 'fb', 'jpm', 'msft', 'sftby', 'tcehy', 'wmt'];Dimon Succession, Lyft Suits, Pinterest IPO: CEO Daily for April 18, 2019;https://fortune.com/2019/04/18/jpmorgan-dimon-lyft-pinterest-ipo-ceo-daily-for-april-18-2019/;2019-04-18 10:49:45
2019-04-17T11:16:06.614274Z;Listen on the go! A daily podcast of Wall Street Breakfast will be available by 8:00 a.m. on Seeking Alpha, iTunes, Stitcher and Spotify (click the highlighted;16335358;2019-04-17T11:01:28Z;seekingalpha.com;['Communication Services', 'Consumer Cyclical', 'Consumer Defensive', 'Consumer Staples', 'ETF', 'Energy', 'Financial Services', 'Healthcare', 'Industrials', 'Stock', 'Technology', 'Unknown Sector', 'Wall Street Breakfast'];['002502', 'aapl', 'abt', 'amzn', 'ba', 'bk', 'etfc', 'fb', 'intc', 'iqnt', 'jpm', 'kmi', 'lvs', 'lyft', 'ms', 'nsrgy', 'pep', 'pins', 'qcom', 'qqq', 'spy', 'ssnlf', 'tsla', 'ul', 'un'];Wall Street Breakfast: Pinterest, Zoom Test Red-Hot IPO Market;https://seekingalpha.com/article/4255149-wall-street-breakfast-pinterest-zoom-test-red-hot-ipo-market;2019-04-18 11:16:06
2019-04-17T11:26:05.001502Z;;16335544;2019-04-17T11:00:00.002000Z;bloomberg.com;['Apps', 'Banking', 'Communication Services', 'John J Legere', 'Mobile Phones', 'Stock', 'Technology', 'Telecommunication Services', 'Tiingo Top', 'Wireless'];['aapl', 'apps', 's', 't', 'tmus', 'vz'];T-Mobile to Offer a Checking Account in Attempt to One-Up Rivals;https://www.bloomberg.com/news/articles/2019-04-18/t-mobile-to-offer-a-checking-account-in-attempt-to-one-up-rivals;2019-04-18 11:26:05
2019-04-17T11:36:58.235592Z;The stock charts of AMGN, CTXS and GS stock are ready to start the last trading day of the week on a trade-worthy foot.;16335736;2019-04-17T11:26:08Z;investorplace.com;['Aapl', 'Amgn', 'Communication Services', 'Ctxs', 'Financial Services', 'Gs', 'Healthcare', 'Nasdaq:Aapl', 'Nasdaq:Amgn', 'Nasdaq:Ctxs', 'Nasdaq:Qcom', 'Nasdaq:Tmus', 'Nyse:Gs', 'Nyse:S', 'Qcom', 'S', 'Stock', 'Technology', 'Tmus', 'Trading', 'Unknown Sector'];['aapl', 'amgn', 'ctxs', 'gs', 'gsf', 'gsj', 'qcom', 's', 'tmus'];3 Big Stock Charts for Thursday: Citrix Systems, Goldman Sachs Group and Amgen;https://investorplace.com/2019/04/big-stock-charts-for-thursday-citrix-systems-goldman-sachs-group-and-amgen/;2019-04-18 11:36:58
2019-04-17T11:37:08.686530Z;Apple stock took a hit earlier this year due to concerns over the trade war and slumping China sales, but both headwinds are moving on.;16335739;2019-04-17T11:20:34Z;investorplace.com;['Aapl', 'China', 'Financial Services', 'Nasdaq:Aapl', 'Stock', 'Stocks To Buy', 'Technology', 'Unknown Sector'];['aapl', 'barl', 'ms', 'msk', 'mwg', 'mwo', 'mwr'];With a China Deal on the Horizon, Apple Stock Is Back on Track;https://investorplace.com/2019/04/china-deal-apple-stock-is-back/;2019-04-18 11:37:08
2019-04-17T11:38:13.971438Z;Sterling Investment Management Inc. cut its stake in shares of Apple Inc. (NASDAQ:AAPL) by 3.6% during the 4th quarter, according to the company in its most recent 13F filing with the Securities and Exchange Commission. The institutional investor owned 24,263 shares of the iPhone maker’s stock after selling 901 shares during the period. Apple comprises […];16335770;2019-04-17T11:28:48Z;thelincolnianonline.com;['03783310', '13F', 'Aapl', 'Apple', 'Computer And Technology', 'Financial Services', 'Hedge Fund Holdings', 'Institutional Investor Holdings', 'Nasdaq:Aapl', 'Sec Filings', 'Stock', 'Technology', 'Unknown Sector'];['aapl', 'barl', 'cs', 'fii', 'ms', 'msk', 'mwg', 'mwo', 'mwr'];Sterling Investment Management Inc. Sells 901 Shares of Apple Inc. (AAPL);https://www.thelincolnianonline.com/2019/04/18/sterling-investment-management-inc-sells-901-shares-of-apple-inc-aapl.html;2019-04-18 11:38:13
2019-04-17T11:45:16.730842Z;"Today's Top Stories: Pinterest, Zoom test red hot IPO market; futures point to slight losses and more gloom for German manufacturing. If you are interested in";16335872;2019-04-17T11:32:55Z;seekingalpha.com;['Consumer Cyclical', 'Consumer Defensive', 'Consumer Staples', 'ETF', 'Energy', 'Financial Services', 'Healthcare', 'Industrials', 'Sa Podcasts', 'Stock', 'Technology', 'Unknown Sector', 'Wsb Podcast'];['aapl', 'abt', 'amzn', 'ba', 'bk', 'etfc', 'fb', 'intc', 'jpm', 'kmi', 'lvs', 'lyft', 'ms', 'nsrgy', 'pep', 'pins', 'qcom', 'qqq', 'spy', 'ssnlf', 'tsla', 'ul'];Pinterest, Zoom Test Red Hot IPO Market (Wall Street Breakfast Podcast);https://seekingalpha.com/article/4255162-pinterest-zoom-test-red-hot-ipo-market-wall-street-breakfast-podcast;2019-04-18 11:45:16
2019-04-17T11:48:28.558741Z;TB Alternative Assets Ltd. Buys ZTO Express (Cayman) Inc, Weibo Corp, TAL Education Group, Sells Alibaba Group Holding, New Oriental Education & Technology Group Inc, Ctrip.com International, Stocks: ZTO,TAL,LB,AAPL,FB,YY,WB,DB,M,TSLA,SINA,UBS,BABA,A, release date:Apr 18, 2019;16335914;2019-04-17T11:48:16.020240Z;gurufocus.com;['Basic Materials', 'Consumer Cyclical', 'Consumer Defensive', 'Consumer Discretionary', 'Financial Services', 'Healthcare', 'Industrials', 'Real Estate', 'Stock', 'Technology', 'Unknown Sector'];['aapl', 'amd', 'amzn', 'baba', 'bzun', 'cmcm', 'ctrp', 'db', 'ea', 'edu', 'fb', 'fcx', 'ge', 'geb', 'gec', 'geh', 'gek', 'gild', 'goog', 'googl', 'lb', 'ntes', 'tal', 'tsla', 'ubs', 'vips', 'wb', 'xrs', 'yy', 'zcvvv', 'zg', 'zto'];TB Alternative Assets Ltd. Buys ZTO Express (Cayman) Inc, Weibo Corp, TAL Education Group, ...;https://www.gurufocus.com/news/856994/tb-alternative-assets-ltd-buys-zto-express-cayman-inc-weibo-corp-tal-education-group-sells-alibaba-group-holding-new-oriental-education--technology-group-inc-ctripcom-international;2019-04-18 11:48:28
2019-04-17T11:49:39.069598Z;Futures are pointing to a lower open on the final day of this shortened trading week.;16335928;2019-04-17T11:35:29Z;cnbc.com;['Autos', 'Business', 'Computing', 'Corporate', 'Earnings', 'Financial Services', 'Housing', 'Internet', 'Pre-Markets', 'Real Estate', 'Stock', 'Stock Markets', 'Technology', 'Tiingo Top', 'Trade', 'Unknown Sector', 'Wireless'];['aapl', 'bx', 'bxmt', 'ct', 'qcom'];Dow under pressure | Blackstone shares surge | Robert Mueller's report set;https://www.cnbc.com/2019/04/18/what-you-need-to-know-in-business-news-today.html;2019-04-18 11:49:39
2019-04-17T11:58:02.107917Z;;16336057;2019-04-17T10:52:32.965000Z;bloomberg.com/view;['Design', 'Emerging Markets', 'Emerging Markets Economics', 'Gambling', 'Ipad', 'Iphone', 'Mobile Phones', 'Smartphone', 'Stock', 'Tablet', 'Technology', 'Tiingo Top'];['aapl', 'googl', 'twtr'];Samsung Stumble Risks Killing Foldable Phones at Birth;https://www.bloomberg.com/view/articles/2019-04-18/samsung-galaxy-fold-risks-killing-foldable-phones-at-birth;2019-04-18 11:58:02
2019-04-17T12:00:58.573691Z;Here's a look at the company's much-need game plan to diversify its business.;16336103;2019-04-17T11:47:00Z;fool.com;['97400Ded-16A4-4Ba3-8333-Ed88Fba0E928', 'Aapl', 'Crus', 'Stock', 'Technology', 'Unknown Sector'];['002502', 'aapl', 'crus'];3 Ways Cirrus Logic Plans to Reduce Its Reliance on Apple;https://www.fool.com/investing/2019/04/18/3-ways-cirrus-logic-reduce-reliance-on-apple.aspx?source=iedfolrf0000001;2019-04-18 12:00:58
2019-04-17T12:05:21.440481Z;;16336193;2019-04-17T11:00:19.864000Z;bloomberg.com;['Cities', 'Consumer Discretionary', 'Earnings', 'Infrastructure', 'Jobs', 'Labor', 'Megacity', 'Millennials', 'Mobile Phones', 'Personal Finance', 'Science', 'Stock', 'Taxes', 'Technology', 'Tiingo Top', 'Transportation', 'Well Spent'];['aapl'];Restaurants Are Using an App to Staff Their Kitchens;https://www.bloomberg.com/news/articles/2019-04-18/restaurants-are-using-the-pared-app-to-staff-their-kitchens;2019-04-18 12:05:21
2019-04-17T12:31:15.206383Z;The city’s employee retirement fund put money into Apple shortly before Tim Cook’s Jan. 2 guidance warning. Ouch. From Reuters “Apple accused in U.S. lawsuit of… ;16336723;2019-04-17T12:05:38Z;247wallst.com;['Stock', 'Technology'];['aapl'];Why Roseville, MI, sued Apple for securities fraud;https://247wallst.com/technology-3/2019/04/18/roseville-apple-securities-fraud/;2019-04-18 12:31:15
2019-04-17T12:33:43.959377Z;Apple Inc and Qualcomm Inc on Tuesday settled an acrimonious two-year legal disp...;16336783;2019-04-17T11:00:00Z;reuters.com;['Headlines', 'Media And Telecommunications', 'Stock', 'Technology', 'Tiingo Top'];['aapl', 'intc'];RPT-EXPLAINER-How 5G drove moves by Apple, Qualcomm and Intel;https://www.reuters.com/article/apple-qualcomm/rpt-explainer-how-5g-drove-moves-by-apple-qualcomm-and-intel-idUSL1N21Z20K;2019-04-18 12:33:43
2019-04-17T12:34:30.358472Z;Stock-index futures were a little lower as more earnings reports poured in and investors waited for the release of the Mueller report this morning. Also in focus is Pinterest’s initial public offering.;16336805;2019-04-17T12:23:00Z;barrons.com;['Aapl', 'Apple', 'Banking', 'Basic Materials', 'Bb&T', 'Bbt', 'Commercial Banking', 'Commodity', 'Consumer Defensive', 'Corporate', 'Corporate Actions', 'Corporate Changes', 'Corporate Funding', 'Credit', 'Danaher', 'Dhr', 'Disruptions', 'Dow Jones Industrial Average', 'Earnings', 'Equity Markets', 'Financial', 'Financial Market', 'Financial Performance', 'Financial Services', 'Healthcare', 'Hon', 'Honeywell International', 'Industrial', 'Industrials', 'Initial Public Offerings', 'J.B. Hunt Transport Services', 'Jbht', 'Lyft', 'Lyft Cl A', 'Pep', 'Pepsico', 'Pins', 'Pinterest', 'Qcom', 'Qualcomm', 'Routine Market', 'Share Capital', 'Share Price Movement', 'Sti', 'Stock', 'Stock Listings', 'Suntrust Banks', 'Technology', 'Unknown Sector'];['aapl', 'bbt', 'db', 'dhr', 'dtk', 'gs', 'gsbd', 'gsf', 'gsj', 'hon', 'jbht', 'lyft', 'pep', 'pins', 'ppg', 'qcom', 'sti'];It’s Mueller Time, Pinterest’s IPO, and More to Know About Stocks for Thursday;https://www.barrons.com/articles/pinterest-ipo-mueller-report-honeywell-danaher-stocks-for-thursday-51555589941;2019-04-18 12:34:30
2019-04-17T12:34:41.645521Z;Taiwan's TSMC struck an upbeat note about the outlook for the depressed glo...;16336812;2019-04-17T10:00:10Z;reuters.com;['Headlines', 'Retail - Computers & Electronics', 'Stock', 'Taiwan', 'Technology', 'Tiingo Top'];['aapl', 'asml'];"UPDATE 3-TSMC upbeat on chip outlook after Apple-Qualcomm settlement; Q1 disappoints";https://www.reuters.com/article/tsmc-results/update-3-tsmc-upbeat-on-chip-outlook-after-apple-qualcomm-settlement-q1-disappoints-idUSL3N2201KW;2019-04-18 12:34:41
2019-04-17T12:52:51.302933Z;Noted Apple (NASDAQ:AAPL) analyst Ming-Chi Kuo is out with more predictions for this fall's iPhone lineup including a front-camera upgrade from 7MP to 12MP.Kuo says the rumored triple-camera system wi;16337206;2019-04-17T12:42:54Z;seekingalpha.com;['Stock', 'Technology'];['aapl'];New iPhones getting front camera upgrade - Kuo;https://seekingalpha.com/news/3451895-new-iphones-getting-front-camera-upgrade-kuo;2019-04-18 12:52:51
2019-04-17T12:55:19.823796Z;The U.S. stock market indexes were mixed between -0.2% and 0.0% on Wednesday, as investors took short-term profits off the table following the recent rally.;16337245;2019-04-17T12:55:11.654450Z;talkmarkets.com;['ETF', 'Equities', 'Stock', 'Stocks', 'Technology'];['aapl', 'msft', 'qqq'];S&P 500's Downward Reversal or Just Profit-Taking Action?;https://talkmarkets.com/content/us-markets/sp-500s-downward-reversal-or-just-profit-taking-action?post=218222;2019-04-18 12:55:19
2019-04-17T12:56:43.586809Z;"Apple Inc. (AAPL) Snapshot:
In latest trading activity;
Apple Inc. (AAPL)
snatched the consideration from Investors, when its current beneficial picture was seen that is promoting good health. The stock price is showing encouraging image with current";16337283;2019-04-17T12:52:07Z;stocksgallery.com;['Aapl', 'Apple Inc', 'Canadian National Railway Company', 'Cni', 'Hot Stocks', 'Industrials', 'Stock', 'Technology'];['aapl', 'cni'];Apple Inc. (AAPL) noted a price change of 1.95% and Canadian National Railway Company (CNI) closes with a move of 1.09%;http://www.stocksgallery.com/2019/04/18/apple-inc-aapl-noted-a-price-change-of-1-95-and-canadian-national-railway-company-cni-closes-with-a-move-of-1-09/;2019-04-18 12:56:43
2019-04-17T13:18:57.654339Z;Options trading was buzzing in Intel, Netflix and Freeport-McMoRan on Wednesday. Here are the metrics that matter moving forward.;16337864;2019-04-17T13:14:46Z;investorplace.com;['Basic Materials', 'Communication Services', 'Consumer Cyclical', 'Dis', 'Fcx', 'Intc', 'Nasdaq:Intc', 'Nasdaq:Nflx', 'Nflx', 'Nyse:Dis', 'Nyse:Fcx', 'Stock', 'Stock Market Today', 'Technology'];['aapl', 'dis', 'fcx', 'intc', 'iqnt', 'nflx', 'qcom'];Thursday’s Vital Data: Intel, Netflix and Freeport McMoRan;https://investorplace.com/2019/04/thursdays-vital-data-intel-netflix-and-freeport-mcmoran/;2019-04-18 13:18:57
2019-04-17T13:21:05.173002Z;Apple Inc is notorious for keeping what happens in its laboratories a closely gu...;16337921;2019-04-17T12:58:24Z;reuters.com;['Headlines', 'Stock', 'Sustainable Business', 'Technology', 'Tiingo Top'];['aapl'];New Apple lab uses robots to rip apart devices for recycling materials;https://www.reuters.com/article/us-apple-environment/new-apple-lab-uses-robots-to-rip-apart-devices-for-recycling-materials-idUSKCN1RU1DW;2019-04-18 13:21:05
2019-04-17T13:21:11.182495Z;"Samsung Electronics Co Ltd said it has received ""a few"" reports of dam...";16337927;2019-04-17T12:44:02Z;reuters.com;['Dassaultuk', 'Headlines', 'Stock', 'Technology', 'Tiingo Top'];['aapl'];UPDATE 3-Samsung gets reports of Galaxy Fold screen problems, raising specter of Note 7 fiasco;https://www.reuters.com/article/samsung-elec-galaxy-malfunction/update-3-samsung-gets-reports-of-galaxy-fold-screen-problems-raising-specter-of-note-7-fiasco-idUSL1N22001U;2019-04-18 13:21:11
2019-04-17T13:26:32.198371Z;"The ""Fast Money"" traders share their first moves for the market open.";16338063;2019-04-17T13:16:51Z;cnbc.com;['Business', 'Consumer Cyclical', 'CryptoCurrency', 'ETF', 'Economy', 'Global Health', 'Health Care', 'Healthcare', 'Markets', 'Pharma', 'Science', 'Stock', 'Stock Markets', 'Technology', 'Tiingo Top', 'Unknown Sector'];['aapl', 'antm', 'mkgaf', 'mrk', 'tlt', 'wynn', 'xlv'];Your first trade for Thursday, April 18;https://www.cnbc.com/2019/04/18/your-first-trade-for-thursday-april-18.html;2019-04-18 13:26:32
2019-04-17T13:27:34.844574Z;Top Technology Stocks:MSFT: -0.14%AAPL: -0.23%IBM: +0.10%CSCO: -0.18%GOOG: FlatPre-Market Thursday saw declining technology giants.Early movers.;16338116;2019-04-17T13:00:06Z;nasdaq.com;['Commodities', 'Stock', 'Technology'];['aapl', 'chkp', 'msft', 'team', 'tsm'];Technology Sector Update for 04/18/2019: TEAM, CHKP, TSM, MSFT, AAPL, IBM, CSCO, GOOG;https://www.nasdaq.com/article/technology-sector-update-for-04182019-team-chkp-tsm-msft-aapl-ibm-csco-goog-cm1131326;2019-04-18 13:27:34
2019-04-17T13:38:41.601060Z;Futures have turned a little higher this morning ahead of what is an absolute flood of economic data. Retail Sales, the Philly Fed, and Jobless Claims were just released, and the results were mostly better than expected.;16338420;2019-04-17T13:38:32.533591Z;talkmarkets.com;['Equities', 'Stock', 'Stocks', 'Technology'];['aapl', 'qcom'];A Flood of Data;https://talkmarkets.com/content/us-markets/a-flood-of-data?post=218237;2019-04-18 13:38:41
2019-04-17T13:45:24.747996Z;Here's a look at the company's much-need game plan to diversify its business.;16338579;2019-04-17T12:48:24Z;foxbusiness.com;['Markets', 'Stock', 'Technology', 'Tiingo Top', 'Unknown Sector'];['002502', 'aapl', 'crus'];3 Ways Cirrus Logic Plans to Reduce Its Reliance on Apple;https://www.foxbusiness.com/markets/3-ways-cirrus-logic-plans-to-reduce-its-reliance-on-apple;2019-04-18 13:45:24
