A,A,55.92,1278481,88954555
AA,AA,12.86,19721815,185710914
AADR,AADR,37.5,3,49201
AAIT,AAIT,32.07,1001,78089
AAL,AAL,36.6,4513544,188482498
AALCP,AALCP,27.6,54621,4084817
AAMC,AAMC,1070,9596,19210926
AAME,AAME,3.64,14054,20526
AAN,AAN,30.25,478203,18835117
AAOI,AAOI,24.67,425494,4303770
AAON,AAON,27.87,81235,2504489
AAP,AAP,126.48,360900,67155073
AAPL,AAPL,536.74,4056194,3352078237
AAT,AAT,33.75,65786,2647188
AAU,AAU,1.38,52085,99476
AAV,AAV,4.93,360620,708710
AAWW,AAWW,35.27,181395,7250987
AAXJ,AAXJ,59.09,218217,21860114
AB,AB,24.97,263804,5255621
ABAX,ABAX,38.88,96557,4157886
ABB,ABB,25.785,714870,27293701
ABBV,ABBV,51.4,2709241,187661279
ABC,ABC,65.58,828501,79204270
ABCB,ABCB,23.3,62372,1488766
ABCD,ABCD,2.15,2561,36875
ABCO,ABCO,64.25,107624,9731323
ABEV,ABEV,7.41,4383679,39677785
ARCB,ABFS,36.95,250454,8956796
ABG,ABG,55.32,214444,10374641
ABGB,ABGB,23.25,5112,298178
ABIO,ABIO,1.86,96060,718168
ABM,ABM,28.75,143916,4319776
ABMD,ABMD,26.04,260306,7755153
ABR,ABR,6.93,58210,444039
ABT,ABT,38.52,5075677,221473070
ABTL,ABTL,12.43,104181,2085398
ABX,ABX,17.84,7096139,151959151
ACAD,ACAD,24.33,2707170,38016587
ACAS,ACAS,15.79,5984831,30181529
ACAT,ACAT,47.79,124107,5814752
ACC,ACC,37.35,622834,17889265
ACCL,ACCL,12.46,328423,3730801
ACCO,ACCO,6.17,317822,2519768
ACCU,ACCU,26.82,2800,117687
ACE,ACE,99.05,664991,98885284
ACET,ACET,20.09,286451,4054009
ACFC,ACFC,4.49,14925,90532
ACFN,ACFN,3.39,103421,281782
ACG,ACG,7.34,375753,2317899
ACGL,ACGL,57.54,462265,23558520
ACH,ACH,8.635,43268,555251
ACHC,ACHC,45.12,294955,11315173
