date,initial,maintenance
20120117,4725,3500
20120529,4050,3000
20120806,4455,3300
20130102,3630,3300
20130212,3080,2800
20130409,4180,3800
20140103,4840,4400
20140321,5280,4800
20140404,6820,6200
20140714,5500,5000
20140905,4950,4500
20141205,6600,6000
20150410,5940,5400
20150522,4400,4000
20150710,3850,3500
20160129,3190,2900
20160310,2712,2465
20160511,2251,2046
20160916,1913,1739
20161216,2288,2080
20170601,1980,1800
20170906,2310,2100
20180126,1760,1600
20180316,1430,1300
20180406,1650,1500
20180608,1760,1600
20180907,1925,1750
20190222,1540,1400
20190530,1980,1800
20190603,2365,2150
20190605,2640,2400
20190815,3025,2750
20200117,2365,2150
20200318,3190,2900
20200325,4785,4350
