date,initial,maintenance
20121130,660,600
20130611,770,700
20130621,1045,950
20130702,1265,1150
20130710,1540,1400
20140409,1265,1150
20140811,1100,1000
20150213,1265,1150
20160318,1100,1000
20160901,1430,1300
20160907,1155,1050
20170526,1045,950
20170630,935,850
20171006,770,700
20190523,715,650
20190719,842,765
20190815,1018,925
20190903,1210,1100
20190906,1375,1250
20191108,1265,1150
20200117,1073,975
20200219,913,830
20200303,1056,960
20200312,1265,1150
20200721,1045,950
20200925,825,750
20201120,715,650
20210108,649,590
20210301,770,700
20210319,935,850
20210604,836,760
20210917,770,700
20211112,902,820
20211130,1122,1020
