date,initial,maintenance
20160108,2145,1950
20160408,2035,1850
20160420,1870,1700
20160627,1980,1800
20161103,2200,2000
20161111,2420,2200
20170512,2090,1900
20170630,1870,1700
20170714,1650,1500
20171006,1430,1300
20180105,1320,1200
20180531,1485,1350
20181207,1705,1550
20190315,1540,1400
20190503,1430,1300
20190802,1540,1400
20190808,1705,1550
20190903,1925,1750
20191115,1815,1650
20200109,1980,1800
20200303,2145,1950
20200309,2585,2350
20200311,2970,2700
20200313,3410,3100
20200319,3905,3550
20200526,3520,3200
