date,initial,maintenance
20120203,6413,4750
20130102,4675,4250
20130115,4208,3825
20140228,3960,3600
20140409,3520,3200
20140509,3190,2900
20140919,2970,2700
20150109,3190,2900
20150120,3520,3200
20150206,3960,3600
20150213,4180,3800
20150701,4510,4100
20151207,4785,4350
20160127,5280,4800
20160408,4840,4400
20160627,5060,4600
20161103,5500,5000
20161111,6160,5600
20170323,5610,5100
20170512,4840,4400
20170630,4290,3900
20170714,4070,3700
20180105,3630,3300
20180402,3410,3100
20180531,3630,3300
20181207,4015,3650
20190503,3795,3450
20190808,4180,3800
20190815,4620,4200
20190903,5280,4800
20191115,4730,4300
20200109,4950,4500
20200303,5280,4800
20200309,6600,6000
20200311,8910,8100
20200313,11220,10200
20200318,13420,12200
20200324,15400,14000
20200428,13750,12500
20200526,12650,11500
