date,initial,maintenance
20120326,3125,2500
20120924,2750,2500
20131003,2998,2725
20131015,3300,3000
20140129,3575,3250
20140516,3933,3575
20140725,4290,3900
20160408,4070,3700
20160429,3795,3450
20160506,3575,3250
20160627,3905,3550
20161103,4235,3850
20170210,4400,4000
20170428,4125,3750
20170601,3905,3550
20170818,3685,3350
20180112,4125,3750
20180126,4620,4200
20180207,5280,4800
20180209,5830,5300
20180504,5390,4900
20180920,5830,5300
20181207,6160,5600
20181228,6490,5900
20190523,6050,5500
20191101,5500,5000
20200109,6050,5500
20200302,6820,6200
20200304,7480,6800
20200310,8250,7500
20200312,9075,8250
20200316,10670,9700
20200318,13200,12000
20200526,11770,10700
20200804,10450,9500
20201211,9900,9000
20211210,9350,8500
20220121,8800,8000
