date,initial,maintenance
20040102,2565,1900
20040226,2430,1800
20040407,2700,2000
20040527,2295,1700
20040624,2160,1600
20040730,2025,1500
20041026,1755,1300
20041217,1890,1400
20050301,1688,1250
20050525,1553,1150
20051205,1350,1000
20060314,1215,900
20060606,1350,1000
20060821,1215,900
20061108,1350,1000
20070301,1485,1100
20070424,1350,1000
20070615,1620,1200
20071108,1755,1300
20071127,2025,1500
20071217,2295,1700
20090320,3960,3600
20090519,3520,3200
20091127,2640,2400
20100305,2090,1900
20100510,2310,2100
20100720,2750,2500
20101217,3025,2750
20110606,2750,2500
20110621,2200,2000
20110725,2420,2200
20110811,3025,2750
20110906,3190,2900
20111004,3410,3100
20120203,3080,2800
20130115,2750,2500
20140228,2530,2300
20140409,2310,2100
20140919,2145,1950
20141219,2310,2100
20150109,2530,2300
20150120,2860,2600
20150206,3080,2800
20150313,3410,3100
20150320,3740,3400
20151207,3960,3600
20160127,4400,4000
20160408,4015,3650
20160627,4125,3750
20161103,4400,4000
20161111,4840,4400
20170428,4400,4000
20170512,3850,3500
20170630,3465,3150
20170714,3300,3000
20171006,2970,2700
20180105,2750,2500
20180402,2365,2150
20180531,2530,2300
20181207,2805,2550
20190503,2640,2400
20190808,2860,2600
20190815,3080,2800
20190903,3300,3000
20191115,2970,2700
20200109,3080,2800
20200303,3245,2950
20200309,4015,3650
20200311,5280,4800
20200313,6270,5700
20200319,7150,6500
20200428,6600,6000
20200526,6050,5500
20200626,5500,5000
20200721,5170,4700
20201120,4620,4200
20210108,4400,4000
20210416,4070,3700
20210527,3850,3500
