date,initial,maintenance
20031124,540,400
20040407,608,450
20040420,810,600
20040604,844,625
20040730,777,575
20040901,540,400
20040928,473,350
20041026,405,300
20041109,338,250
20050125,439,325
20050304,506,375
20050706,675,500
20050805,810,600
20050929,506,375
20051102,405,300
20051205,338,250
20060404,473,350
20060516,540,400
20060821,608,450
20061006,675,500
20061011,878,650
20061013,1013,750
20061113,1148,850
20061219,1013,750
20070116,1215,900
20070126,1350,1000
20070920,1080,800
20090506,1320,1200
20091027,1210,1100
20091228,1100,1000
20100521,935,850
20100723,1045,950
20100930,1210,1100
20101011,1650,1500
20110401,1925,1750
20110711,275,250
20110901,2200,2000
20110915,1925,1750
20120425,1375,1250
20120627,2200,2000
20121107,1650,1500
20130102,2200,2000
20130820,1650,1500
20130828,1925,1750
20140509,1650,1500
20140918,1375,1250
20141103,1100,1000
20150701,1375,1250
20151218,1100,1000
20160310,990,900
20160425,1155,1050
20160622,1375,1250
20160715,1540,1400
20160901,1265,1150
20160922,1155,1050
20161007,990,900
20170406,825,750
20170612,935,850
20170929,825,750
20171206,715,650
20171215,605,550
20180314,660,600
20180404,792,720
20180711,880,800
20190111,770,700
20190401,990,900
20190402,770,700
20190510,836,760
20190530,968,880
20190603,1100,1000
20190814,1265,1150
20190927,1100,1000
20200526,990,900
