date,initial,maintenance
20031124,743,550
20040309,878,650
20040325,1148,850
20040730,1013,750
20040901,878,650
20041217,642,475
20050224,810,600
20050304,979,725
20050706,1080,800
20050929,675,500
20051205,608,450
20060111,675,500
20060516,540,400
20061113,608,450
20070702,810,600
20070920,945,700
20091027,1100,1000
20100330,880,800
20100521,770,700
20101011,1210,1100
20101110,1430,1300
20101119,1650,1500
20110613,1375,1250
20110906,1100,1000
20120425,990,900
20120611,1100,1000
20120627,1375,1250
20130820,1100,1000
20130828,1650,1500
20130916,1375,1250
20131004,1650,1500
20140214,1485,1350
20140509,1265,1150
20140918,770,700
20141202,880,800
20150828,1045,950
20160219,880,800
20160420,825,750
20161007,715,650
20161028,787,715
20161209,908,825
20170303,1045,950
20170612,935,850
20170818,798,725
20171215,660,600
20181010,550,500
20190111,495,450
20190228,539,490
20190814,622,565
20191219,677,615
20200310,770,700
20200318,935,850
20200526,853,775
20200617,770,700
20200922,825,750
20201007,880,800
20201113,935,850
20201229,1155,1050
20210104,1265,1150
20210106,1430,1300
20210108,1485,1350
20210205,1705,1550
20210325,1870,1700
20210423,2145,1950
20210430,2420,2200
20210507,2530,2300
20210618,2915,2650
20210622,3245,2950
20210707,3410,3100
20210902,3080,2800
20210917,2750,2500
20211103,2365,2150
