date,initial,maintenance
19900101,875,700
20130102,1100,1000
20140307,1375,1250
20141103,1210,1100
20150109,990,900
20150402,880,800
20151211,770,700
20160408,660,600
20160715,770,700
20161007,660,600
20161209,770,700
20170407,688,625
20170608,770,700
20170613,880,800
20170705,1045,950
20170818,880,800
20170922,798,725
20171201,715,650
20180112,633,575
20180223,743,675
20181130,798,725
20190523,715,650
20200609,880,800
20200619,963,875
20200707,1100,1000
20200807,880,800
20210106,990,900
20210723,1128,1025
20210730,1293,1175
20210818,1375,1250
20211013,1568,1425
20211103,1788,1625
20211119,2063,1875
20211201,2365,2150
