date,initial,maintenance
20031124,1620,1200
20040115,2025,1500
20040407,2160,1600
20040420,2565,1900
20040518,3105,2300
20040624,2430,1800
20040730,2295,1700
20040901,2970,2200
20040928,1958,1450
20041026,1823,1350
20041124,1620,1200
20041217,1215,900
20050224,1485,1100
20050304,1823,1350
20050706,2295,1700
20050805,2498,1850
20050929,1080,800
20051205,1013,750
20060111,1148,850
20060516,1013,750
20061219,1080,800
20070117,1350,1000
20070611,1215,900
20070702,1823,1350
20070717,2430,1800
20070920,2700,2000
20090506,3300,3000
20091027,3025,2750
20100521,2475,2250
20100702,2200,2000
20101011,2750,2500
20101110,3025,2750
20101119,3575,3250
20110114,3850,3500
20110613,3575,3250
20110725,3025,2750
20110906,2750,2500
20120627,3300,3000
20120710,4125,3750
20130115,3740,3400
20130820,3300,3000
20130828,3850,3500
20131113,3190,2900
20140214,2750,2500
20140509,3300,3000
20140918,2750,2500
20150109,2475,2250
20150220,2200,2000
20150701,2530,2300
20150828,2860,2600
20160108,2310,2100
20160219,1980,1800
20160310,1650,1500
20160422,1925,1750
20160429,2200,2000
20160511,2530,2300
20160603,2860,2600
20160701,3190,2900
20160708,3410,3100
20160922,2970,2700
20161007,2640,2400
20170120,2310,2100
20170818,2090,1900
20171206,1815,1650
20171215,1595,1450
20180112,1430,1300
20180314,1540,1400
20180321,1705,1550
20180404,2035,1850
20180711,2255,2050
20180814,2585,2350
20181010,2255,2050
20190111,1925,1750
20190510,2057,1870
20190606,2189,1990
20191004,1859,1690
20191211,1650,1500
20200325,1815,1650
20200526,1650,1500
