date,initial,maintenance
20031124,878,650
20040102,979,725
20040325,1080,800
20040420,1182,875
20040730,912,675
20040901,675,500
20041217,608,450
20050224,743,550
20050304,810,600
20050407,945,700
20050929,506,375
20060209,608,450
20060516,743,550
20060519,878,650
20060606,1283,950
20060713,945,700
20060929,1080,800
20061006,1350,1000
20061011,1688,1250
20061219,1553,1150
20070614,1688,1250
20070827,1890,1400
20070906,2025,1500
20071217,2700,2000
20090506,2200,2000
20091027,1925,1750
20091228,1650,1500
20100330,1320,1200
20100702,1100,1000
20100723,1375,1250
20100805,1925,1750
20100809,2750,2500
20100923,13750,12500
20100924,2750,2500
20110304,3300,3000
20110906,2475,2250
20120627,3025,2750
20130115,2640,2400
20130820,2200,2000
20131113,1815,1650
20140131,1540,1400
20140509,1650,1500
20140918,1430,1300
20150522,1650,1500
20150701,1925,1750
20151218,1650,1500
20160310,1320,1200
20160425,1540,1400
20160818,1320,1200
20161007,1199,1090
20161021,1100,1000
20170505,1320,1200
20170705,1540,1400
20170818,1320,1200
20170929,1210,1100
20171206,1045,950
20180214,1100,1000
20180305,1265,1150
20180321,1375,1250
20180503,1485,1350
20180727,1705,1550
20181010,1375,1250
20190314,1485,1350
20190603,1595,1450
20191113,1375,1250
20200320,1568,1425
