18991230,dc,CME
20130115,dc vdol5lmm7fnl,CME,2
20130115,dc vdol5lmm7fnl,CME,3
20130128,dc vdol5lmm7fnl,CME,0
20130131,dc veg5o7vcck5d,CME,1
20130201,dc veg5o7vcck5d,CME,2
20130201,dc veg5o7vcck5d,CME,3
20130225,dc veg5o7vcck5d,CME,0
20130331,dc vfembho90yrl,CME,1
20130401,dc vfembho90yrl,CME,0
20130401,dc vfembho90yrl,CME,2
20130401,dc vfembho90yrl,CME,3
20130531,dc vh4nhdpvuhvl,CME,1
20130602,dc vh4nhdpvuhvl,CME,2
20130602,dc vh4nhdpvuhvl,CME,3
20130603,dc vh4nhdpvuhvl,CME,0
20130630,dc vinsim7c4qv5,CME,1
20130707,dc vinsim7c4qv5,CME,2
20130707,dc vinsim7c4qv5,CME,3
20130729,dc vinsim7c4qv5,CME,0
20130812,dc vjn8lzdevwn5,CME,2
20130812,dc vjn8lzdevwn5,CME,3
20130831,dc vjn8lzdevwn5,CME,1
20130903,dc vjn8lzdevwn5,CME,0
20130930,dc vl5e74hp3egx,CME,1
20131004,dc vl5e74hp3egx,CME,2
20131004,dc vl5e74hp3egx,CME,3
20131028,dc vl5e74hp3egx,CME,0
20131130,dc vm3uuealrt35,CME,1
20131201,dc vm3uuealrt35,CME,2
20131201,dc vm3uuealrt35,CME,3
20131202,dc vm3uuealrt35,CME,0
20140131,dc vntw0ac8lc75,CME,1
20140202,dc vntw0ac8lc75,CME,2
20140202,dc vntw0ac8lc75,CME,3
20140203,dc vntw0ac8lc75,CME,0
20140223,dc vpd11itovl6p,CME,2
20140223,dc vpd11itovl6p,CME,3
20140331,dc vpd11itovl6p,CME,0
20140331,dc vpd11itovl6p,CME,1
20140413,dc vr327evbp4ap,CME,3
20140531,dc vr327evbp4ap,CME,1
20140601,dc vr327evbp4ap,CME,2
20140602,dc vr327evbp4ap,CME,0
20140629,dc vsm78ncrzda9,CME,2
20140630,dc vsm78ncrzda9,CME,1
20140728,dc vsm78ncrzda9,CME,0
20140812,dc vtlnc0iuqj29,CME,2
20140831,dc vtlnc0iuqj29,CME,1
20140902,dc vtlnc0iuqj29,CME,0
20141031,dc vvap1t7bhb0h,CME,1
20141102,dc vvap1t7bhb0h,CME,2
20141103,dc vvap1t7bhb0h,CME,0
20141130,dc vwtu31orrk01,CME,1
20141209,dc vwtu31orrk01,CME,2
20141229,dc vwtu31orrk01,CME,0
20150130,dc vxsaqbhofym9,CME,2
20150130,dc vxsaqbhofym9,CME,3
20150131,dc vxsaqbhofym9,CME,1
20150202,dc vxsaqbhofym9,CME,0
20150228,dc vzbfrjz4q7lt,CME,1
20150301,dc vzbfrjz4q7lt,CME,2
20150301,dc vzbfrjz4q7lt,CME,3
20150318,dc w030a67uvc3l,CME,2
20150318,dc w030a67uvc3l,CME,3
20150330,dc vzbfrjz4q7lt,CME,0
20150331,dc w030a67uvc3l,CME,1
20150427,dc w030a67uvc3l,CME,0
20150531,dc w11gxg0rjqpt,CME,1
20150601,dc w11gxg0rjqpt,CME,0
20150601,dc w11gxg0rjqpt,CME,2
20150601,dc w11gxg0rjqpt,CME,3
20150731,dc w2ri3c2ed9tt,CME,2
20150731,dc w2ri3c2ed9tt,CME,1
20150731,dc w2ri3c2ed9tt,CME,3
20150803,dc w2ri3c2ed9tt,CME,0
20150831,dc w4an4kjunitd,CME,1
20150923,dc w4an4kjunitd,CME,2
20150923,dc w4an4kjunitd,CME,3
20150928,dc w4an4kjunitd,CME,0
20151031,dc w593rucrbxfl,CME,1
20151101,dc w593rucrbxfl,CME,2
20151101,dc w593rucrbxfl,CME,3
20151102,dc w593rucrbxfl,CME,0
20151130,dc w6s8t2u7m6f5,CME,1
20151223,dc w6s8t2u7m6f5,CME,2
20151223,dc w6s8t2u7m6f5,CME,3
20151228,dc w6s8t2u7m6f5,CME,0
