18991230,es,CME
20091130,es uik2f7cj4v0h,CME,1
20091215,es uik2f7cj4v0h,CME,2
20091215,es uik2f7cj4v0h,CME,3
20091217,es uik2f7cj4v0h,CME,0
20100228,es ul1o3pmw3im9,CME,1
20100316,es ul1o3pmw3im9,CME,2
20100316,es ul1o3pmw3im9,CME,3
20100318,es ul1o3pmw3im9,CME,0
20100531,es unj9s7x92681,CME,1
20100615,es unj9s7x92681,CME,2
20100615,es unj9s7x92681,CME,3
20100617,es unj9s7x92681,CME,0
20100831,es uq0vgq7m0ttt,CME,1
20100914,es uq0vgq7m0ttt,CME,2
20100914,es uq0vgq7m0ttt,CME,3
20100916,es uq0vgq7m0ttt,CME,0
20101130,es usih58hyzhfl,CME,1
20101215,es usih58hyzhfl,CME,2
20101215,es usih58hyzhfl,CME,3
20101216,es usih58hyzhfl,CME,0
20110228,es uv02tqsby51d,CME,1
20110316,es uv02tqsby51d,CME,2
20110316,es uv02tqsby51d,CME,3
20110317,es uv02tqsby51d,CME,0
20110531,es uxhoi92owsn5,CME,1
20110615,es uxhoi92owsn5,CME,2
20110615,es uxhoi92owsn5,CME,3
20110616,es uxhoi92owsn5,CME,0
20110831,es uzza6rd1vg8x,CME,1
20110914,es uzza6rd1vg8x,CME,2
20110914,es uzza6rd1vg8x,CME,3
20110915,es uzza6rd1vg8x,CME,0
20111130,es v2gvv9neu3up,CME,1
20111211,es v2gvv9neu3up,CME,2
20111211,es v2gvv9neu3up,CME,3
20111215,es v2gvv9neu3up,CME,0
20120229,es v4yhjrxrsrgh,CME,1
20120313,es v4yhjrxrsrgh,CME,2
20120313,es v4yhjrxrsrgh,CME,3
20120315,es v4yhjrxrsrgh,CME,0
20120531,es v7g38a84rf29,CME,1
20120612,es v7g38a84rf29,CME,2
20120612,es v7g38a84rf29,CME,3
20120614,es v7g38a84rf29,CME,0
20120831,es va4l1g2o9csh,CME,1
20120918,es va4l1g2o9csh,CME,2
20120918,es va4l1g2o9csh,CME,3
20120920,es va4l1g2o9csh,CME,0
20121028,es vcm6pyd180e9,CME,2
20121028,es vcm6pyd180e9,CME,3
20121130,es vcm6pyd180e9,CME,1
20121220,es vcm6pyd180e9,CME,0
20130228,es veww9t37ndvl,CME,1
20130312,es veww9t37ndvl,CME,2
20130312,es veww9t37ndvl,CME,3
20130314,es veww9t37ndvl,CME,0
20130531,es vhle2yxr5blt,CME,1
20130618,es vhle2yxr5blt,CME,2
20130618,es vhle2yxr5blt,CME,3
20130620,es vhle2yxr5blt,CME,0
20130831,es vk2zrh843z7l,CME,1
20130917,es vk2zrh843z7l,CME,2
20130917,es vk2zrh843z7l,CME,3
20130919,es vk2zrh843z7l,CME,0
20131117,es vmklfzih2mtd,CME,3
20131130,es vmklfzih2mtd,CME,1
20131217,es vmklfzih2mtd,CME,2
20131219,es vmklfzih2mtd,CME,0
20140228,es vp274hsu1af5,CME,1
20140318,es vp274hsu1af5,CME,2
20140320,es vp274hsu1af5,CME,0
20140531,es vrjst036zy0x,CME,1
20140617,es vrjst036zy0x,CME,2
20140617,es vrjst036zy0x,CME,3
20140619,es vrjst036zy0x,CME,0
20140831,es vu1ehidjylmp,CME,1
20140916,es vu1ehidjylmp,CME,2
20140916,es vu1ehidjylmp,CME,3
20140918,es vu1ehidjylmp,CME,0
20141130,es vwj060nwx98h,CME,1
20141216,es vwj060nwx98h,CME,2
20141216,es vwj060nwx98h,CME,3
20141218,es vwj060nwx98h,CME,0
20150228,es vz0luiy9vwu9,CME,1
20150317,es vz0luiy9vwu9,CME,2
20150317,es vz0luiy9vwu9,CME,3
20150319,es vz0luiy9vwu9,CME,0
20150531,es w1i7j18mukg1,CME,1
20150616,es w1i7j18mukg1,CME,2
20150616,es w1i7j18mukg1,CME,3
20150618,es w1i7j18mukg1,CME,0
20150831,es w3zt7jizt81t,CME,1
20150915,es w3zt7jizt81t,CME,2
20150915,es w3zt7jizt81t,CME,3
20150917,es w3zt7jizt81t,CME,0
20151130,es w6hew1tcrvnl,CME,1
20151215,es w6hew1tcrvnl,CME,2
20151215,es w6hew1tcrvnl,CME,3
20151217,es w6hew1tcrvnl,CME,0
20160229,es w8z0kk3pqj9d,CME,1
20160315,es w8z0kk3pqj9d,CME,2
20160315,es w8z0kk3pqj9d,CME,3
20160317,es w8z0kk3pqj9d,CME,0
20160531,es wbgm92e2p6v5,CME,1
20160614,es wbgm92e2p6v5,CME,2
20160614,es wbgm92e2p6v5,CME,3
20160616,es wbgm92e2p6v5,CME,0
20160831,es wdy7xkofnugx,CME,1
20160913,es wdy7xkofnugx,CME,2
20160913,es wdy7xkofnugx,CME,3
20160915,es wdy7xkofnugx,CME,0
20161130,es wgftm2ysmi2p,CME,1
20161213,es wgftm2ysmi2p,CME,2
20161213,es wgftm2ysmi2p,CME,3
20161215,es wgftm2ysmi2p,CME,0
20170228,es wixfal95l5oh,CME,1
20170314,es wixfal95l5oh,CME,2
20170314,es wixfal95l5oh,CME,3
20170316,es wixfal95l5oh,CME,0
20170531,es wlf0z3jijta9,CME,1
20170613,es wlf0z3jijta9,CME,2
20170613,es wlf0z3jijta9,CME,3
20170615,es wlf0z3jijta9,CME,0
20170831,es wnwmnltvigw1,CME,1
20170912,es wnwmnltvigw1,CME,2
20170912,es wnwmnltvigw1,CME,3
20170914,es wnwmnltvigw1,CME,0
20171130,es wqe8c448h4ht,CME,1
20171212,es wqe8c448h4ht,CME,2
20171212,es wqe8c448h4ht,CME,3
20171214,es wqe8c448h4ht,CME,0
20180228,es wsvu0melfs3l,CME,1
20180313,es wsvu0melfs3l,CME,2
20180313,es wsvu0melfs3l,CME,3
20180315,es wsvu0melfs3l,CME,0
20180531,es wvdfp4oyefpd,CME,1
20180612,es wvdfp4oyefpd,CME,2
20180612,es wvdfp4oyefpd,CME,3
20180614,es wvdfp4oyefpd,CME,0
20180831,es wy1xiajhwdfl,CME,1
20180918,es wy1xiajhwdfl,CME,2
20180918,es wy1xiajhwdfl,CME,3
20180920,es wy1xiajhwdfl,CME,0
20181130,es x0jj6stuv11d,CME,1
20181218,es x0jj6stuv11d,CME,2
20181218,es x0jj6stuv11d,CME,3
20181220,es x0jj6stuv11d,CME,0
20190228,es x2u8qnk1aeip,CME,1
20190312,es x2u8qnk1aeip,CME,2
20190312,es x2u8qnk1aeip,CME,3
20190314,es x2u8qnk1aeip,CME,0
20190531,es x5iqjteksc8x,CME,1
20190618,es x5iqjteksc8x,CME,2
20190618,es x5iqjteksc8x,CME,3
20190620,es x5iqjteksc8x,CME,0
20190831,es x80c8boxqzup,CME,1
20190917,es x80c8boxqzup,CME,2
20190917,es x80c8boxqzup,CME,3
20190919,es x80c8boxqzup,CME,0
20191130,es xahxwtzapngh,CME,1
20191217,es xahxwtzapngh,CME,2
20191217,es xahxwtzapngh,CME,3
20191219,es xahxwtzapngh,CME,0
20200229,es xczjlc9nob29,CME,1
20200318,es xczjlc9nob29,CME,2
20200318,es xczjlc9nob29,CME,3
20200319,es xczjlc9nob29,CME,0
20200531,es xfh59uk0myo1,CME,1
20200617,es xfh59uk0myo1,CME,2
20200617,es xfh59uk0myo1,CME,3
20200618,es xfh59uk0myo1,CME,0
20200831,es xhyqycudlm9t,CME,1
20200915,es xhyqycudlm9t,CME,2
20200915,es xhyqycudlm9t,CME,3
20200917,es xhyqycudlm9t,CME,0
20201130,es xkgcmv4qk9vl,CME,1
20201215,es xkgcmv4qk9vl,CME,2
20201215,es xkgcmv4qk9vl,CME,3
20201217,es xkgcmv4qk9vl,CME,0
20210228,es xmxybdf3ixhd,CME,1
20210316,es xmxybdf3ixhd,CME,2
20210316,es xmxybdf3ixhd,CME,3
20210318,es xmxybdf3ixhd,CME,0
20210531,es xpfjzvpghl35,CME,1
20210615,es xpfjzvpghl35,CME,2
20210615,es xpfjzvpghl35,CME,3
20210617,es xpfjzvpghl35,CME,0
20210831,es xrx5odztg8ox,CME,1
20210914,es xrx5odztg8ox,CME,2
20210914,es xrx5odztg8ox,CME,3
20210916,es xrx5odztg8ox,CME,0
20211130,es xuercwa6ewap,CME,1
20211214,es xuercwa6ewap,CME,2
20211214,es xuercwa6ewap,CME,3
20211216,es xuercwa6ewap,CME,0
20220228,es xwwd1ekjdjwh,CME,1
20220315,es xwwd1ekjdjwh,CME,2
20220315,es xwwd1ekjdjwh,CME,3
20220317,es xwwd1ekjdjwh,CME,0
20220531,es xzdypwuwc7i9,CME,1
20220614,es xzdypwuwc7i9,CME,2
20220614,es xzdypwuwc7i9,CME,3
20220616,es xzdypwuwc7i9,CME,0
20220831,es y1vkef59av41,CME,1
20220915,es y1vkef59av41,CME,0
20221130,es y4d62xfm9ipt,CME,1
20221215,es y4d62xfm9ipt,CME,0
20230228,es y6urrfpz86bl,CME,1
20230316,es y6urrfpz86bl,CME,0
20230531,es y9cdfy0c6txd,CME,1
20230615,es y9cdfy0c6txd,CME,0
20501231,es y1vkef59av41,CME,2
20501231,es y1vkef59av41,CME,3
