date,initial,maintenance
20000101,1620,1200
20000406,1249,925
20000530,1823,1350
20000629,1350,1000
20000803,1722,1275
20000831,1350,1000
20001005,1958,1450
20001207,1688,1250
20010201,1553,1150
20010503,1418,1050
20010906,1148,850
20011004,1924,1425
20011101,1485,1100
20011204,1350,1000
20020131,1215,900
20020409,1080,800
20020801,1688,1250
20021029,1485,1100
20030306,1350,1000
20030403,1485,1100
20030805,1823,1350
20031106,1553,1150
20040130,2025,1500
20040303,2295,1700
20040901,2093,1550
20040928,1890,1400
20050401,1755,1300
20050428,1620,1200
20050725,1755,1300
20060110,2025,1500
20060315,1755,1300
20061110,1553,1150
20070108,1688,1250
20070611,1485,1100
20071018,1620,1200
20071025,1823,1350
20071114,2025,1500
20071210,2700,2000
20090501,2200,2000
20100309,1760,1600
20100510,1980,1800
20110328,1650,1500
20110906,1320,1200
20111004,1650,1500
20121226,1320,1200
20130716,1815,1650
20131122,1650,1500
20140530,1375,1250
20140912,1485,1350
20150109,1650,1500
20150116,1760,1600
20150123,1925,1750
20150501,2145,1950
20150605,2035,1850
20160226,2255,2050
20160526,2420,2200
20160617,2805,2550
20160627,3960,3600
20161209,3548,3225
20170113,3025,2750
20170317,2640,2400
20170601,2310,2100
20170901,1980,1800
20171027,2200,2000
20171201,1980,1800
20180112,1760,1600
20180223,1980,1800
20180706,1760,1600
20180810,1650,1500
20181019,1815,1650
20181116,2090,1900
20181130,2420,2200
20181207,2640,2400
20190531,2310,2100
20191011,2640,2400
20200319,2970,2700
20200925,3300,3000
20201201,2970,2700
20210219,2640,2400
20210430,2365,2150
