date,initial,maintenance
20000101,709,525
20000203,642,475
20000406,709,525
20000424,540,400
20000530,608,450
20000629,675,500
20000831,608,450
20010104,709,525
20010201,608,450
20010329,743,550
20011101,608,450
20020702,540,400
20020801,810,600
20020829,878,650
20021205,743,550
20030508,878,650
20030605,1148,850
20030707,1350,1000
20040226,1485,1100
20040325,1350,1000
20040624,1013,750
20040730,1215,900
20041129,1350,1000
20041227,1080,800
20050114,1485,1100
20050131,1688,1250
20050401,1485,1100
20050428,1215,900
20060315,1080,800
20060609,1350,1000
20060717,1755,1300
20060815,1485,1100
20061017,1283,950
20061221,1148,850
20070730,1485,1100
20070920,1755,1300
20071025,2093,1550
20071114,2700,2000
20071119,3105,2300
20090209,3300,3000
20090306,2750,2500
20090501,1980,1800
20100309,1650,1500
20100510,1980,1800
20110621,1760,1600
20110808,1980,1800
20111031,2200,2000
20111205,2530,2300
20120117,2200,2000
20120217,1870,1700
20120629,1650,1500
20121120,1320,1200
20130115,1100,1000
20130604,1265,1150
20140530,1100,1000
20141008,1265,1150
20141202,1430,1300
20150123,1705,1550
20150130,1837,1670
20151030,1705,1550
20160415,1595,1450
20161007,1705,1550
20161103,1925,1750
20161209,1705,1550
20170113,1540,1400
20170217,1320,1200
20170512,1155,1050
20170601,1045,950
20170901,1210,1100
20180112,1430,1300
20180316,1210,1100
20180531,1320,1200
20180706,1430,1300
20180810,1265,1150
20190531,1100,1000
20191213,990,900
20200310,1155,1050
20200318,1265,1150
20200320,1540,1400
20200327,1705,1550
