date,initial,maintenance
20000101,2187,1620
20000203,2430,1800
20000530,3240,2400
20000629,2430,1800
20000831,2025,1500
20001005,3240,2400
20001102,2916,2160
20001207,2430,1800
20010104,2228,1650
20010201,3402,2520
20010301,2511,1860
20010329,2673,1980
20010503,2511,1860
20010607,2349,1740
20010906,2160,1600
20011101,2025,1500
20020131,2160,1600
20020312,2025,1500
20020530,1890,1400
20020801,2430,1800
20020829,2700,2000
20021029,2565,1900
20021205,2295,1700
20030206,2160,1600
20030306,1890,1400
20030508,2295,1700
20030605,2700,2000
20030805,2430,1800
20031002,2498,1850
20040130,3240,2400
20040928,2700,2000
20041220,2970,2200
20050401,2700,2000
20050428,2565,1900
20050701,3105,2300
20051005,2835,2100
20061017,2565,1900
20070125,2295,1700
20070426,2025,1500
20071210,2565,1900
20090312,4950,4500
20090501,3850,3500
20091013,3300,3000
20100309,2750,2500
20100510,3300,3000
20101119,3520,3200
20110328,3300,3000
20110510,4400,4000
20120326,3850,3500
20120629,3300,3000
20121226,2750,2500
20130115,2475,2250
20130716,2750,2500
20131122,2475,2250
20140530,2200,2000
20140718,1925,1750
20140912,2200,2000
20141031,2310,2100
20141205,2640,2400
20150109,2860,2600
20150116,3080,2800
20150120,3410,3100
20150501,3630,3300
20150701,3905,3550
20151030,3630,3300
20151207,3905,3550
20160415,3685,3350
20160627,4043,3675
20160729,3685,3350
20161209,3355,3050
20170113,3025,2750
20170418,3410,3100
20170512,2750,2500
20170601,2310,2100
20180531,2530,2300
20190426,2200,2000
20191108,1980,1800
20200207,1870,1700
20200303,1980,1800
20200311,2145,1950
20200318,2365,2150
20200414,2503,2275
20200828,2750,2500
20201009,3190,2900
20201113,2860,2600
20201201,2530,2300
20210114,2200,2000
20210416,2420,2200
