date,initial,maintenance
20000203,2835,2100
20000424,4212,3120
20000803,3645,2700
20001005,3240,2400
20001102,2835,2100
20001207,2430,1800
20010104,2025,1500
20010201,2835,2100
20010301,2025,1500
20010503,2835,2100
20010801,2025,1500
20020312,1890,1400
20020409,2700,2000
20020530,2430,1800
20021205,2295,1700
20030306,2160,1600
20030707,1890,1400
20031002,1755,1300
20040325,2228,1650
20040527,3105,2300
20040730,2835,2100
20040901,2700,2000
20040928,2430,1800
20041227,2228,1650
20050114,2565,1900
20050401,2363,1750
20050428,2160,1600
20050726,2700,2000
20051102,2295,1700
20051208,2025,1500
20051215,3510,2600
20060206,3105,2300
20060315,2700,2000
20061017,2430,1800
20070125,2160,1600
20070301,2700,2000
20070611,2430,1800
20070731,2025,1500
20070817,2700,2000
20090501,3300,3000
20100309,3080,2800
20100510,3520,3200
20100607,4400,4000
20101015,4950,4500
20110510,4400,4000
20110621,2750,2500
20110803,2200,2000
20110808,2860,2600
20110811,3575,3250
20110906,4400,4000
20111031,3575,3250
20111205,4400,4000
20120117,3960,3600
20120604,3300,3000
20121023,3025,2750
20130115,2475,2250
20130208,2860,2600
20130405,3410,3100
20130618,3850,3500
20131122,3465,3150
20140530,3300,3000
20140718,3025,2750
20140905,2475,2250
20150120,2860,2600
20150123,3300,3000
20150508,2860,2600
20150825,3300,3000
20151030,2970,2700
20160617,3245,2950
20160627,4015,3650
20160701,4510,4100
20161007,4950,4500
20170113,4400,4000
20170317,3630,3300
20170512,3300,3000
20170728,2750,2500
20171201,2475,2250
20180112,2200,2000
20181130,1980,1800
20190815,2365,2150
20200302,2640,2400
20200310,3080,2800
20200316,3685,3350
20200324,4400,4000
