date,initial,maintenance
20120907,4400,4000
20121226,3300,3000
20130115,2750,2500
20130430,2310,2100
20130702,2750,2500
20130716,3300,3000
20130924,3850,3500
20131104,4730,4300
20131210,3850,3500
20140109,3410,3100
20141031,3850,3500
20141104,4730,4300
20141209,3850,3500
20150731,3300,3000
20151103,4070,3700
20151209,3300,3000
20160415,2970,2700
20160506,2750,2500
20160526,2420,2200
20161102,3080,2800
20161209,2750,2500
20170113,2420,2200
20170206,2035,1850
20170317,1815,1650
20170519,2145,1950
20170901,1760,1600
20180112,1430,1300
20180316,1210,1100
20180615,1485,1350
20180907,1650,1500
20181019,1815,1650
20181130,1540,1400
20190111,1320,1200
20190322,1100,1000
20190719,1238,1125
20190903,1375,1250
20200207,1265,1150
20200320,1430,1300
20200710,1650,1500
20201201,1375,1250
20220121,1210,1100
