date,initial,maintenance
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv12-380.html
20120907,3300,3000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv12-557.html
20121226,2750,2500
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv13-014.html
20130115,2420,2200
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv13-251.html
20130604,1815,1650
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv13-304.html
20130702,2035,1850
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-007.html
20140109,1980,1800
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-424.html
20141031,1760,1600
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-007.html
20150109,2035,1850
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-023.html
20150123,2310,2100
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-153.html
20150605,2035,1850
# https://www.cmegroup.com/notices/clearing/2016/04/Chadv16-165.html
20160415,1870,1700
# https://www.cmegroup.com/notices/clearing/2016/05/Chadv16-194.html
20160506,1705,1550
# https://www.cmegroup.com/notices/clearing/2016/11/Chadv16-462.html
20161103,1925,1750
# https://www.cmegroup.com/notices/clearing/2017/05/Chadv17-167.html
20170512,1485,1350
# https://www.cmegroup.com/notices/clearing/2017/08/Chadv17-334.html
20170901,1210,1100
# https://www.cmegroup.com/notices/clearing/2018/01/Chadv18-020.html
20180112,990,900
# https://www.cmegroup.com/notices/clearing/2018/04/Chadv18-167.html
20180427,1128,1025
# https://www.cmegroup.com/notices/clearing/2018/05/Chadv18-206.html
20180524,1265,1150
# https://www.cmegroup.com/notices/clearing/2018/06/Chadv18-256.html
20180622,1485,1350
# https://www.cmegroup.com/notices/clearing/2018/08/Chadv18-314.html
20180810,1320,1200
# https://www.cmegroup.com/notices/clearing/2019/01/Chadv19-018.html
20190111,1100,1000
# https://www.cmegroup.com/notices/clearing/2019/07/Chadv19-230.html
20190719,1320,1200
# https://www.cmegroup.com/notices/clearing/2020/02/Chadv20-043.html
20200207,1210,1100
