date,initial,maintenance
20000106,1485,1100
20010104,1215,900
20010607,1080,800
20010705,1215,900
20010906,945,700
20011101,1215,900
20020131,1080,800
20020312,945,700
20020530,675,500
20020702,810,600
20020801,878,650
20020829,945,700
20030508,1013,750
20030605,945,700
20030805,1418,1050
20031106,1080,800
20040130,1215,900
20040315,1620,1200
20040325,2363,1750
20040429,1553,1150
20040527,1755,1300
20040624,1958,1450
20040730,1688,1250
20041129,1553,1150
20050428,1418,1050
20050725,1688,1250
20051208,1350,1000
20070730,2025,1500
20070817,2700,2000
20071228,2430,1800
20090501,2200,2000
20110510,1925,1750
20110621,1650,1500
20110808,2090,1900
20110906,2475,2250
20111004,2750,2500
20120117,2200,2000
20121120,1650,1500
20130115,1375,1250
20130319,1650,1500
20130702,1925,1750
20131122,1705,1550
20140530,1485,1350
20141008,1650,1500
20150116,1760,1600
20150120,1980,1800
20150130,2310,2100
20150424,2090,1900
20161209,1870,1700
20170206,1540,1400
20170601,1430,1300
20170922,1650,1500
20171201,1430,1300
20180706,1210,1100
20180813,1320,1200
20181109,1540,1400
20190531,1320,1200
20200207,1210,1100
20200316,1375,1250
20200320,1650,1500
