date,initial,maintenance
20120907,6270,5700
20121226,4950,4500
20130115,4125,3750
20131217,6270,5700
20131223,4125,3750
20140109,3685,3350
20140304,4400,4000
20140421,5280,4800
20141205,6600,6000
20141216,7920,7200
20141222,6600,6000
20150109,7920,7200
20150123,9020,8200
20150130,10120,9200
20150619,9020,8200
20150731,8580,7800
20151216,9790,8900
20151218,8690,7900
20151223,7480,6800
20160415,6930,6300
20160506,6270,5700
20160526,5500,5000
20160909,4950,4500
20161103,5500,5000
20161209,4675,4250
20161216,5940,5400
20161223,4675,4250
20170113,4125,3750
20170206,3575,3250
20170317,2860,2600
20170512,2640,2400
20170901,2310,2100
20180316,2090,1900
20180413,2530,2300
20181102,2310,2100
20181130,2090,1900
20190322,1760,1600
20190719,1925,1750
20200310,2420,2200
20200316,3025,2750
20200318,3630,3300
20200320,4400,4000
20200324,4950,4500
