date,initial,maintenance
20111205,4647,3442
20120907,3597,3270
20130102,3520,3200
20130115,2507,2280
20130116,2475,2250
20130319,2678,2435
20130320,2750,2500
20130702,3129,2844
20130703,3300,3000
20131122,2826,2569
20131125,2970,2700
20140117,3300,3000
20140207,3740,3400
20140210,4125,3750
20140530,3297,2997
20140602,3575,3250
20141031,2441,2219
20141103,2750,2500
20141107,2913,2648
20141110,3300,3000
20150123,2834,2577
20150126,3520,3200
20160304,2975,2704
20160307,3960,3600
20160429,3505,3186
20160502,4400,4000
20161209,3006,2733
20161212,3960,3600
20170113,2643,2402
20170116,3465,3150
20170601,2361,2147
20170602,3190,2900
20170728,2301,2092
20170731,2860,2600
20190719,2022,1838
20190722,2640,2400
20200318,3300,3000
20200320,3960,3600
