date,initial,maintenance
20120117,3459,2562
20120727,2734,2025
20120907,2234,2031
20130102,2750,2500
20130115,2083,1894
20130116,2475,2250
20130319,2265,2059
20130320,2750,2500
20130517,3193,2903
20130520,2750,2500
20131003,2557,2325
20131004,3080,2800
20140304,3520,3200
20140530,3080,2800
20141212,2740,2491
20141215,3520,3200
20150109,3105,2823
20150112,3960,3600
20150605,3333,3030
20150608,4730,4300
20150814,3380,3072
20150817,5170,4700
20150918,3661,3328
20150921,5720,5200
20170113,3295,2996
20170116,4620,4200
20170512,2720,2473
20170515,3960,3600
20171020,2626,2297
20171023,3630,3300
20171208,2258,2052
20171211,3300,3000
20190719,1861,1691
20190722,2750,2500
