date,initial,maintenance
20171218,45172,41065
20171219,43245,39313
20171220,40561,36873
20171221,36540,33218
20171222,33702,30638
20171226,37699,34271
20171227,35015,31831
20171228,32791,29810
20171229,34270,31154
20180102,35323,32111
20180131,25839,23490
20180201,21499,19544
20180215,23971,21791
20180216,23817,21651
20180220,27790,25263
20180221,24526,22296
20180222,23876,21705
20180223,24406,22187
20180227,25211,22919
20180228,25176,22887
20180301,26205,23822
20180328,18684,16985
20180329,17478,15889
20180403,17643,16039
20180430,22149,20135
20180501,21832,19847
20180531,17845,16222
20180601,17643,16039
20180628,14392,13083
20180629,13921,12655
20180702,15669,14244
20180801,18578,16889
20180829,16555,15050
20180830,16119,14653
20180831,16662,15147
20180904,17384,15803
20181002,15723,14293
20181017,15184,13803
20181018,15113,13739
20181019,15089,13717
20181022,15125,13750
20181024,15196,13814
20181025,15149,13771
20181026,15118,13743
20181101,14936,13578
20181129,9886,8987
20181130,9349,8499
20181206,8514,7740
20181220,9166,8332
20181221,8929,8117
20181224,9627,8751
20181226,8893,8084
20181227,8432,7665
20181228,9154,8321
20181231,8772,7974
20190102,9059,8235
20190117,8527,7751
20190118,8479,7708
20190122,8467,7697
20190123,8362,7601
20190124,8432,7665
20190125,8420,7654
20190131,8030,7300
20190201,6971,6337
20190221,7937,7215
20190222,8000,7272
20190228,7714,7012
20190301,7774,7067
20190401,8396,7632
20190429,10507,9551
20190430,10644,9676
20190501,10786,9805
20190529,17817,16197
20190530,17664,16058
20190531,17369,15790
20190603,17583,15984
20190702,22528,20480
20190730,19914,18103
20190731,20697,18815
20190801,21409,19462
20190828,19832,18029
20190829,19476,17705
20190830,19639,17853
20190903,21978,19980
20190930,16962,15420
20191001,17034,15485
20191028,19395,17631
20191029,19140,17400
20191030,19007,17279
20191031,19079,17344
20191101,18978,17252
20191203,15070,13700
20191230,14826,13478
20191231,14734,13394
20200102,14216,12923
20200130,19802,18001
20200131,17134,15576
20200203,17080,15527
20200302,16290,14809
20200331,11789,10717
20200401,11300,10272
20200428,14131,12846
20200429,16081,14619
20200430,16245,14768
20200501,16064,14603
20200529,17189,15626
20200601,17516,15923
20200626,16735,15213
20200629,16698,15180
20200630,16771,15246
20200701,16999,15453
20200730,20638,18761
20200731,21073,19157
20200803,21091,19173
20200828,21109,19190
20200831,21481,19528
20200901,22107,20097
20200929,19739,17944
20200930,19675,17886
20201001,19467,17697
20201028,24285,22077
20201029,25011,22737
20201030,24930,22663
20201102,25030,22754
20201130,35811,32555
20201201,35303,32093
20201230,53534,48667
20201231,53825,48931
20210430,11979,10890
20210503,12073,10975
20210602,7339,6671
20210629,7026,6387
20210630,6701,6091
20210701,6366,5787
20210729,7654,6958
20210730,7692,6992
20210802,7543,6857
20210827,9328,8480
20210830,9388,8534
20210831,9129,8299
20210901,9306,8460
20210929,7935,7213
20210930,8424,7658
20211001,9337,8488
20211028,11894,10812
20211029,12130,11027
20211101,11862,10783
20211129,11256,10232
20211130,11196,10178
20211201,11047,10042
20211229,8354,7594
20211230,8310,7554
20211231,8444,7676
20220104,8187,7442
20220201,6809,6190
20220202,6625,6022
20220203,6398,5816
20220204,7166,6514
20220207,7802,7092
20220208,7818,7107
20220209,7907,7188
20220210,7785,7077
20220211,7471,6791
