date,initial,maintenance
20130102,1320,1200
20140915,1650,1500
20140919,2200,2000
20141103,2750,2500
20150109,1925,1750
20150112,2750,2500
20150424,2585,2350
20150828,2860,2600
20160122,2200,2000
20160125,2860,2600
20160219,2530,2300
20160222,2860,2600
20160310,2640,2400
20160311,2860,2600
20161007,2420,2200
20170120,1980,1800
20170301,1760,1600
20170407,1430,1300
20170519,1705,1550
20170619,2035,1850
20170915,1650,1500
20170918,2035,1850
20171020,1375,1250
20171023,2035,1850
20171101,1650,1500
20171102,2035,1850
20171129,1650,1500
20171201,1375,1250
20171204,1843,1675
20180112,1210,1100
20180115,1430,1300
20180131,1210,1100
20180202,1430,1300
20180228,1210,1100
20180302,1430,1300
20180511,1045,950
20180514,1430,1300
20180531,1045,950
20180604,1430,1300
20180801,1045,950
20180802,1430,1300
20180803,880,800
20180806,1430,1300
20180829,880,800
20180903,1430,1300
20180914,770,700
20180917,1430,1300
20181031,770,700
20181102,1430,1300
20181221,605,550
20181224,1210,1100
20190118,1045,950
20190121,1210,1100
20190130,605,550
20190204,1210,1100
20190227,605,550
20190301,495,450
20190304,1210,1100
20190405,605,550
20190408,1320,1200
20190501,605,550
20190502,1320,1200
20190510,660,600
20190513,1320,1200
20190731,660,600
20190802,1320,1200
20190808,853,775
20190809,1320,1200
20191030,660,600
20191104,1320,1200
20200110,737,670
20200113,1155,1050
20200117,968,880
20200120,1155,1050
20200324,1430,1300
20200326,1716,1560
20200331,2057,1870
20200401,737,670
20200402,2057,1870
20200403,2475,2250
20200414,2860,2600
20200429,1210,1100
20200504,2860,2600
