date,initial,maintenance
20120425,1755,1300
20130102,1430,1300
20131003,1623,1475
20131016,1430,1300
20131104,1623,1475
20131120,1430,1300
20131202,1623,1475
20131219,1430,1300
20140106,1623,1475
20140122,1430,1300
20140203,1623,1475
20140219,1430,1300
20140303,1623,1475
20140319,1430,1300
20140321,1650,1500
20140331,1623,1475
20140403,1650,1500
20140915,1430,1300
20140919,1650,1500
20150204,1100,1000
20150205,1650,1500
20150304,1100,1000
20150305,1650,1500
20150401,1100,1000
20150402,1650,1500
20150429,1100,1000
20150430,1650,1500
20150603,1100,1000
20150604,1650,1500
20150701,1100,1000
20150702,1650,1500
20150805,1100,1000
20150806,1650,1500
20150902,1100,1000
20150903,1650,1500
20150930,1100,1000
20151001,1650,1500
20151030,1430,1300
20151104,880,800
20151105,1430,1300
20151202,880,800
20151203,1430,1300
20151230,880,800
20160104,1430,1300
20160203,880,800
20160204,1430,1300
20160302,880,800
20160303,1430,1300
20160330,880,800
20160331,1430,1300
20160408,1210,1100
20160504,770,700
20160505,1210,1100
20160511,1100,1000
20160602,660,600
20160603,1100,1000
20160617,1320,1200
20160622,1540,1400
20160715,1760,1600
20161007,1430,1300
20161216,1650,1500
20170120,1485,1350
20170601,605,550
20170602,1375,1250
20170728,1210,1100
20170915,1100,1000
20171020,990,900
20180216,908,825
20180402,825,750
20180629,935,850
20181031,413,375
20181101,935,850
20190118,825,750
20190301,770,700
20190405,935,850
20190510,1045,950
20190918,1265,1150
20191025,1584,1440
20200304,682,620
20200305,1584,1440
20200331,1804,1640
20200403,2134,1940
20200414,2420,2200
20200902,1100,1000
20200903,2420,2200
20200925,2860,2600
20210122,3036,2760
20210527,2420,2200
20210603,1650,1500
20210604,2420,2200
20210630,1650,1500
20210701,2420,2200
20210804,1650,1500
20210805,2420,2200
20210806,2090,1900
20210901,1650,1500
20210902,2090,1900
20210929,1650,1500
20210930,2090,1900
20211103,1650,1500
20211104,2090,1900
20211201,1650,1500
20211202,2090,1900
20220105,1650,1500
20220106,2090,1900
20220202,1650,1500
20220203,2090,1900
