date,initial,maintenance
20120416,2025,1500
20120425,2700,2000
20130102,1980,1800
20130103,2200,2000
20130402,1980,1800
20130403,2200,2000
20130603,1980,1800
20130605,2200,2000
20130702,1980,1800
20130703,2200,2000
20130820,2025,1500
20130821,1650,1500
20150302,1925,1750
20150304,1650,1500
20150602,2090,1900
20150603,1650,1500
20150803,2090,1900
20150805,1650,1500
20151030,1320,1200
20151102,1870,1700
20151104,1320,1200
20160202,2090,1900
20160203,1320,1200
20160219,1100,1000
20160310,880,800
20160502,1430,1300
20160504,880,800
20160802,1430,1300
20160803,880,800
20161003,1430,1300
20161005,880,800
20170102,1210,1100
20170105,880,800
20170403,1540,1400
20170405,880,800
20170502,1540,1400
20170503,880,800
20170818,715,650
20171002,1210,1100
20171004,715,650
20171103,798,725
20171204,908,825
20180102,1430,1300
20180104,908,825
20180131,798,725
20180202,908,825
20180228,798,725
20180302,908,825
20180402,1210,1100
20180404,908,825
20180531,798,725
20180604,908,825
20180629,633,575
20180702,1375,1250
20180705,908,825
20180801,633,575
20180802,908,825
20180803,743,675
20180806,1045,950
20180829,743,675
20180903,1045,950
20180914,1210,1100
20181002,1485,1350
20181003,1210,1100
20181016,1100,1000
20181031,743,675
20181102,1100,1000
20181203,1485,1350
20181205,1100,1000
20190102,1485,1350
20190103,1100,1000
20190130,743,675
20190204,1100,1000
20190227,743,675
20190301,605,550
20190304,880,800
20190402,1045,950
20190403,880,800
20190501,605,550
20190502,880,800
20190603,1210,1100
20190605,880,800
20190702,1210,1100
20190703,880,800
20190731,605,550
20190802,880,800
20190808,688,625
20190809,880,800
20190902,1210,1100
20190905,880,800
20190918,798,725
20190919,880,800
20191025,924,840
20191028,1067,970
20191030,924,840
20191104,1067,970
20191202,1210,1100
20191204,1067,970
20191213,1265,1150
20200203,1430,1300
20200205,1265,1150
20200302,1628,1480
20200304,1265,1150
20200401,924,840
20200402,1265,1150
20200429,924,840
20200504,1265,1150
