date,initial,maintenance
20120326,2363,1750
20120629,2025,1500
20120907,1650,1500
20121226,1375,1250
20130115,1238,1125
20130716,1375,1250
20131122,1238,1125
20140530,1100,1000
20140718,963,875
20140912,1100,1000
20141031,1155,1050
20141205,1320,1200
20150109,1430,1300
20150116,1540,1400
20150120,1705,1550
20150501,1815,1650
20150701,1953,1775
20151030,1815,1650
20151207,1953,1775
20160415,1843,1675
20160627,2022,1838
20160729,1843,1675
20161209,1678,1525
20170113,1513,1375
20170418,1705,1550
20170512,1375,1250
20170601,1155,1050
20180531,1265,1150
20190426,1100,1000
20191108,990,900
20200207,935,850
20200303,990,900
20200311,1073,975
20200318,1183,1075
20200414,1252,1138
20200828,1375,1250
20201009,1595,1450
20201113,1430,1300
20201201,1265,1150
20210114,1100,1000
20210416,1210,1100
