date,initial,maintenance
20120629,3806,2819
20120907,3142,2857
20130102,3025,2750
20130115,2442,2220
20130116,2310,2100
20130607,2508,2280
20130610,2640,2400
20130716,3796,2541
20130717,3025,2750
20140207,4039,3672
20140210,4510,4100
20140530,3584,3259
20140602,3850,3500
20141031,2711,2464
20141103,3080,2800
20141212,2903,2640
20141215,3520,3200
20150109,3248,2952
20150112,3960,3600
20150120,3862,3511
20150121,4730,4300
20150123,4004,3640
20150126,5060,4600
20150508,4361,3965
20150511,5500,5000
20150828,4537,4125
20150831,6325,5750
20160909,4293,3902
20160912,5693,5175
20161209,3832,3483
20161212,5143,4675
20170113,3466,3151
20170116,4620,4200
20170418,5170,4700
20170512,2844,2586
20170515,3850,3500
20170601,2517,2289
20170602,3410,3100
20190222,2824,2567
20190225,3960,3600
20190719,2324,2112
20190722,3300,3000
20200316,3850,3500
20200318,4400,4000
20200320,5500,5000
