date,initial,maintenance
20111205,3651,2705
20120629,2989,2214
20120727,3702,2742
20120806,2639,2399
20120907,3091,2810
20130102,3025,2750
20130208,2525,2295
20130211,2530,2300
20130319,2143,1948
20130320,2200,2000
20140131,2768,2517
20140203,3080,2800
20140530,2536,2306
20140602,2750,2500
20140912,2819,2563
20140915,3080,2800
20150116,3442,3129
20150119,4125,3750
20150120,3905,3550
20150121,4730,4300
20150123,4074,3704
20150126,5060,4600
20150605,3624,3295
20150608,4510,4100
20160415,3775,3432
20160418,4840,4400
20161209,3340,3036
20161212,4400,4000
20170113,3020,2745
20170116,3960,3600
20170418,4400,4000
20170601,2687,2443
20170602,3630,3300
20190719,2359,2144
20190722,3080,2800
20191213,2530,2300
20200316,3025,2750
20200318,3520,3200
20200320,4400,4000
