date,initial,maintenance
20120326,6250,5000
20120629,5625,4500
20120907,5000,4000
20120924,4400,4000
20130627,4950,4500
20131003,5445,4950
20131015,6050,5500
20140129,6875,6250
20140314,7700,7000
20140714,6930,6300
20140725,7370,6700
20160429,6710,6100
20160506,6270,5700
20160627,6820,6200
20161103,7370,6700
20170210,7920,7200
20170428,7700,7000
20170512,7370,6700
20170601,7040,6400
20170630,6600,6000
20170818,6050,5500
20170911,6600,6000
20180126,7150,6500
20180207,8250,7500
20180920,9020,8200
20190417,9350,8500
20190719,8470,7700
20191101,7920,7200
20200109,8690,7900
20200306,10120,9200
20200310,11550,10500
20200312,12650,11500
20200316,14850,13500
20200318,18700,17000
20200526,16500,15000
20200804,14850,13500
20220121,13750,12500
