date,initial,maintenance
20120425,540,400
20120627,608,450
20120827,810,600
20121120,1013,750
20130102,1430,1300
20130130,825,750
20130204,1430,1300
20130227,825,750
20130304,1430,1300
20130501,825,750
20130502,1430,1300
20130731,825,750
20130802,1430,1300
20130820,1100,1000
20131030,825,750
20131104,1100,1000
20140430,825,750
20140502,1265,1150
20140527,825,750
20140528,1265,1150
20140627,1430,1300
20140730,825,750
20140804,1430,1300
20140912,1100,1000
20140915,1430,1300
20140919,1650,1500
20141001,1100,1000
20141002,1650,1500
20141103,1430,1300
20141104,2200,2000
20150401,1430,1300
20150402,2200,2000
20150424,1870,1700
20150429,1430,1300
20150504,1870,1700
20150701,1430,1300
20150702,1870,1700
20150930,1430,1300
20151002,1870,1700
20151230,1430,1300
20160104,1870,1700
20160108,1100,1000
20160111,1650,1500
20160330,1100,1000
20160404,1650,1500
20160511,935,850
20160512,1485,1350
20160617,1650,1500
20160629,935,850
20160704,1650,1500
20160831,935,850
20160902,1650,1500
20161007,1320,1200
20161130,935,850
20161202,1320,1200
20170120,825,750
20170123,1100,1000
20170201,825,750
20170202,1100,1000
20170301,825,750
20170302,1100,1000
20170407,660,600
20170410,880,800
20170519,1045,950
20170601,660,600
20170602,1045,950
20170619,1210,1100
20170628,660,600
20170703,1210,1100
20170818,550,500
20170821,990,900
20170830,550,500
20170904,990,900
20171101,550,500
20171102,990,900
20171129,550,500
20171204,990,900
20180112,880,800
20180131,550,500
20180202,880,800
20180216,495,450
20180219,825,750
20180228,495,450
20180302,825,750
20180531,495,450
20180604,825,750
20180629,413,375
20180702,825,750
20180801,413,375
20180802,825,750
20180803,880,800
20180829,413,375
20180903,880,800
20180914,825,750
20181031,413,375
20181102,825,750
20190130,413,375
20190204,825,750
20190227,413,375
20190304,743,675
20190405,880,800
20190501,413,375
20190502,880,800
20190731,413,375
20190802,880,800
20190808,798,725
20191030,413,375
20191104,798,725
20200228,853,775
20200305,935,850
20200316,1067,970
20200318,1188,1080
20200320,1430,1300
20200324,1760,1600
20200331,1980,1800
20200401,880,800
20200402,1980,1800
20200403,2255,2050
20200429,880,800
20200504,2255,2050
