date,initial,maintenance
20010108,810,600
20011211,945,700
20020409,810,600
20030206,878,650
20030605,810,600
20030812,945,700
20030902,1080,800
20040102,945,700
20040226,810,600
20040407,945,700
20060515,743,550
20071127,878,650
20090414,990,900
20090519,935,850
20090730,1045,950
20100813,935,850
20110621,825,750
20110822,770,700
20120117,743,675
20120217,688,625
20130102,358,325
20130115,605,550
20130116,275,250
20130305,550,500
20130306,220,200
20130621,605,550
20130624,220,200
20130702,715,650
20130703,220,200
20130710,880,800
20130711,220,200
20130716,495,450
20130717,220,200
20130910,451,410
20130911,176,160
20130917,770,700
20130918,176,160
20140321,638,580
20140324,176,160
20140613,798,725
20140616,176,160
20140919,715,650
20140922,176,160
20141017,633,575
20141020,176,160
20141212,275,250
20141215,176,160
20150109,495,450
20150112,176,160
20150206,198,180
20150213,550,500
20150216,198,180
20150304,231,210
20150313,253,230
20150320,605,550
20150323,275,250
20151106,303,275
20160421,275,250
20160603,644,585
20160606,275,250
20160819,248,225
20161118,237,215
20161202,248,225
20170209,275,250
20170525,220,200
20170630,198,180
20171020,165,150
20180202,132,120
20180316,165,150
20190107,198,180
20190509,176,160
20190605,209,190
20190624,237,215
20190710,264,240
20190725,292,265
20190805,330,300
20190808,363,330
20191106,330,300
20200304,413,375
20200313,523,475
20200430,479,435
20200514,440,400
