date,initial,maintenance
20000203,1013,750
20000406,945,700
20000424,878,650
20000530,1080,800
20000629,945,700
20000803,1080,800
20001207,972,720
20010201,810,600
20010301,945,700
20010607,999,740
20010801,918,680
20011004,1026,760
20011101,1080,800
20020430,1350,1000
20020530,1080,800
20060717,1215,900
20070125,1080,800
20070426,945,700
20070731,810,600
20070911,1215,900
20090122,880,800
20090309,990,900
20090506,1155,1050
20100702,1045,950
20101011,1210,1100
20110218,1375,1250
20120529,1155,1050
20120827,1375,1250
20121120,1155,1050
20130618,1375,1250
20130820,1100,1000
20140304,1320,1200
20180912,1485,1350
20190222,1705,1550
20190322,1980,1800
20190329,2200,2000
20190426,2420,2200
20200325,2750,2500
20200414,3135,2850
