date,initial,maintenance
20111205,2700,2000
20120117,2430,1800
20120907,1650,1500
20121023,1513,1375
20130115,1238,1125
20130208,1430,1300
20130405,1705,1550
20130618,1925,1750
20131122,1733,1575
20140530,1650,1500
20140718,1513,1375
20140905,1238,1125
20150120,1430,1300
20150123,1650,1500
20150508,1430,1300
20150825,1650,1500
20151030,1485,1350
20160617,1623,1475
20160627,2008,1825
20160701,2255,2050
20161007,2475,2250
20170113,2200,2000
20170317,1815,1650
20170512,1650,1500
20170728,1375,1250
20171201,1238,1125
20180112,1100,1000
20181130,990,900
20190815,1183,1075
20200302,1320,1200
20200310,1540,1400
20200316,1843,1675
20200324,2200,2000
20200529,1980,1800
20201009,2200,2000
20201113,1980,1800
20201201,1650,1500
20210114,1375,1250
20210430,1238,1125
20210604,1128,1025
20210917,1045,950
20211130,1254,1140
20211217,1375,1250
