date,initial,maintenance
20120529,1650,1100
20120627,1875,1250
20130102,1375,1250
20130115,2175,1450
20130116,1595,1450
20130604,1760,1600
20151211,1540,1400
20170301,1815,1650
20170407,1595,1450
20171201,1760,1600
20180522,2090,1900
20180702,1815,1650
20180713,2090,1900
20180815,2475,2250
20180830,3025,2750
20180903,2035,1850
20180914,3025,2750
20181102,2035,1850
20181115,3025,2750
20190102,2035,1850
20190115,3025,2750
20190201,2475,2250
20190304,2035,1850
20190315,2475,2250
20190502,2035,1850
20190515,2475,2250
20190702,2310,2100
20190715,2475,2250
20190902,2310,2100
20190913,2475,2250
20191104,2310,2100
20191115,2475,2250
20200102,2310,2100
20200115,2475,2250
20200302,2310,2100
20200311,2772,2520
20200313,2970,2700
20200324,3850,3500
20200504,3630,3300
20200515,3850,3500
