date,initial,maintenance
20130102,198,180
20130115,165,150
20130604,202,183
20131122,182,165
20140207,204,185
20140530,165,150
20140718,143,130
20141008,154,140
20141107,165,150
20141205,180,163
20150116,198,180
20150123,220,200
20150130,242,220
20150424,220,200
20151030,198,180
20161103,220,200
20161209,198,180
20170206,165,150
20170601,143,130
20170728,160,145
20171201,138,125
20190222,149,135
20191004,132,120
20200207,121,110
20200311,143,130
20200316,165,150
20200318,182,165
20200320,198,180
20201009,231,210
20201113,198,180
20201201,176,160
20210301,198,180
20210709,176,160
20220121,160,145
