date,initial,maintenance
20130102,275,250
20130115,248,225
20130716,275,250
20131122,248,225
20140530,220,200
20140718,193,175
20140912,220,200
20141031,231,210
20141205,264,240
20150109,286,260
20150116,308,280
20150120,341,310
20150501,363,330
20150701,391,355
20151030,363,330
20151207,391,355
20160415,369,335
20160627,405,368
20160729,369,335
20161209,336,305
20170113,303,275
20170418,341,310
20170512,275,250
20170601,231,210
20180531,253,230
20190426,220,200
20191108,198,180
20200207,187,170
20200303,198,180
20200311,215,195
20200318,237,215
20200414,251,228
20200828,275,250
20201009,319,290
20201113,286,260
20201201,253,230
20210114,220,200
20210416,242,220
