date,initial,maintenance
20210503,244,221
20210602,148,134
20210630,135,122
20210701,128,116
20210730,154,140
20210802,151,137
20210827,187,170
20210830,189,171
20210831,183,166
20210901,186,169
20210930,169,153
20211001,187,170
20211028,238,216
20211029,244,221
20211101,238,216
20211201,222,201
20211229,168,152
20211230,167,151
20211231,170,154
20220104,164,149
20220120,151,137
20220121,135,122
20220124,131,119
20220125,130,118
20220126,131,119
20220127,126,114
20220128,134,121
20220131,136,123
20220201,137,124
20220202,134,121
20220203,128,116
20220204,143,130
20220207,157,142
20220209,159,144
20220210,157,142
20220211,150,136
