date,initial,maintenance
20130102,303,275
20130115,248,225
20130208,286,260
20130405,341,310
20130618,385,350
20131122,347,315
20140530,330,300
20140718,303,275
20140905,248,225
20150120,286,260
20150123,330,300
20150508,286,260
20150825,330,300
20151030,297,270
20160617,325,295
20160627,402,365
20160701,451,410
20161007,495,450
20170113,440,400
20170317,363,330
20170512,330,300
20170728,275,250
20171201,248,225
20180112,220,200
20181130,198,180
20190815,237,215
20200302,264,240
20200310,308,280
20200316,369,335
20200324,440,400
20200529,396,360
20201009,440,400
20201113,396,360
20201201,330,300
20210114,275,250
20210430,248,225
20210604,226,205
20210917,209,190
20211130,251,228
20211217,275,250
