date,initial,maintenance
20120326,2500,2000
20120924,2200,2000
20130521,2420,2200
20131003,2640,2400
20131015,3080,2800
20140129,3245,2950
20140725,3630,3300
20141031,3960,3600
20150825,4400,4000
20151030,4840,4400
20160127,5280,4800
20160408,4840,4400
20160506,4400,4000
20160526,3960,3600
20161103,4400,4000
20161216,3960,3600
20170210,4290,3900
20170911,4950,4500
20180112,5225,4750
20180126,5720,5200
20180207,6380,5800
20180920,6765,6150
20181012,7150,6500
20181026,7700,7000
20181228,8360,7600
20191101,7920,7200
20200109,8250,7500
20200302,9350,8500
20200304,9900,9000
20200310,10780,9800
20200312,11880,10800
20200316,13200,12000
20200318,16500,15000
