#expiry,open,high,low,close,volume,open_interest
201310,18.16,18.16,18.12,18.13,137,4137
201312,17.9,18.02,17.8,17.96,146,4234
201401,17.2,17.28,17.14,17.27,85,3238
201402,16.78,16.86,16.72,16.82,40,1604
201403,16.58,16.67,16.58,16.62,28,1458
201404,16.58,16.61,16.58,16.61,9,1228
201405,16.51,16.52,16.5,16.52,11,1033
201406,16.55,16.62,16.54,16.58,21,1070
201407,16.74,16.78,16.74,16.78,14,913
201408,17.02,17.02,17.02,17.02,5,460
201409,17.06,17.13,17.06,17.13,18,489
201411,17.05,17.05,17.05,17.05,5,368
201412,17,17,17,17,1,346
201501,16.95,16.95,16.95,16.95,1,329
201502,0,0,0,0,0,1
201503,0,0,0,0,0,
