#symbol_id,symbol_value,open,high,low,close,volume,open_interest
ES VMKLFZIH2MTD,ES20Z13,1687.5,1688.75,1679.5,1683.75,730,32901
ES VP274HSU1AF5,ES21H14,1679,1679,1674,1676.5,9,2061
ES VRJST036ZY0X,ES20M14,1674.25,1674.25,1674,1674.25,3,223
ES VU1EHIDJYLMP,ES19U14,1664.375,1668.375,1660.75,1664.5,0,1
ES VWJ060NWX98H,ES19Z14,0,0,0,0,0,
ES XCZJLC9NOB29,ES20H20,0,0,0,0,0,
ES XFH59UK0MYO1,ES19M20,0,0,0,0,0,
ES XHYQYCUDLM9T,ES18U20,0,0,0,0,0,
ES XKGCMV4QK9VL,ES18Z20,0,0,0,0,0,
ES XMXYBDF3IXHD,ES19H21,0,0,0,0,0,
