date,initial,maintenance
20160318,440,400
20160408,330,300
20160506,275,250
20160701,248,225
20160805,220,200
20160826,193,175
20160930,231,210
20161118,259,235
20170113,193,175
20170303,248,225
20170519,209,190
20170608,242,220
20170623,286,260
20170804,303,275
20180223,440,400
20180302,484,440
20180417,572,520
20180420,715,650
20180425,825,750
20180504,1045,950
20180727,880,800
20180921,770,700
20181214,688,625
20190201,567,515
20190315,495,450
20190913,413,375
20200407,495,450
20200501,594,540
