date,initial,maintenance
20090108,4733,4302
20090122,4399,3999
20090821,3667,3333
20091215,4403,4002
20100212,5498,4998
20100430,4677,4251
20101116,4950,4500
20110121,5502,5001
20110620,4950,4500
20110811,6050,5500
20110825,7700,7000
20110926,9350,8500
20120213,10125,7500
20120529,9113,6750
20121120,7425,6750
20130102,6600,6000
20130212,5940,5400
20130416,7040,6400
20130621,8800,8000
20131122,7975,7250
20140404,7150,6500
20140516,6600,6000
20140714,5940,5400
20140822,5060,4600
20141010,4400,4000
20150522,4125,3750
20160212,4675,4250
20160226,4950,4500
20160627,6050,5500
20160701,6600,6000
20160818,5940,5400
20161103,6600,6000
20170113,5940,5400
20170303,5280,4800
20170331,4620,4200
20170601,4345,3950
20170811,4675,4250
20170908,4950,4500
20170922,5390,4900
20171208,4895,4450
20171219,4400,4000
20180109,3850,3500
20180320,3410,3100
20181012,3740,3400
20190621,4070,3700
20190628,4400,4000
20190814,4950,4500
20200109,5500,5000
20200227,6050,5500
20200303,6600,6000
20200317,7700,7000
20200325,9185,8350
20200414,10065,9150
