date,initial,maintenance
20120213,6750,5000
20120416,5400,4000
20121120,3850,3500
20130212,3410,3100
20130507,4070,3700
20130604,4400,4000
20130910,3850,3500
20131122,3300,3000
20140714,2970,2700
20140825,2860,2600
20141205,3190,2900
20150116,3740,3400
20150417,3410,3100
20160129,3135,2850
20160408,2860,2600
20160506,2530,2300
20161007,2090,1900
20161111,2530,2300
20161118,3025,2750
20170203,3410,3100
20170407,3025,2750
20170623,2640,2400
20170811,3025,2750
20170911,3465,3150
20171201,3080,2800
20180126,3410,3100
20180524,3080,2800
20180817,3410,3100
20190201,2970,2700
20190314,2640,2400
20190628,2970,2700
20191126,2640,2400
20200109,2970,2700
20200320,3520,3200
20200325,4125,3750
