date,initial,maintenance
20130102,660,600
20130212,594,540
20130416,704,640
20130621,880,800
20131122,798,725
20140404,715,650
20140516,660,600
20140714,594,540
20140822,506,460
20141010,440,400
20150522,413,375
20160212,468,425
20160226,495,450
20160627,605,550
20160701,660,600
20160818,594,540
20161103,660,600
20170113,594,540
20170303,528,480
20170331,462,420
20170601,435,395
20170811,468,425
20170908,495,450
20170922,539,490
20171208,490,445
20171219,440,400
20180109,385,350
20180320,341,310
20181012,374,340
20190621,407,370
20190628,440,400
20190814,495,450
20200109,550,500
20200227,605,550
20200303,660,600
20200317,770,700
20200325,919,835
20200414,1007,915
20200619,902,820
20200807,957,870
20200812,1023,930
20201002,1155,1050
20201016,1265,1150
20201204,1100,1000
20210202,1210,1100
20210305,1100,1000
20210507,990,900
20210820,908,825
20210929,825,750
20220105,715,650
20220121,660,600
