date,initial,maintenance
20130614,2475,2250
20131122,2200,2000
20140404,1980,1800
20140516,1815,1650
20140714,1650,1500
20140822,1430,1300
20141010,1210,1100
20141205,1430,1300
20150130,1584,1440
20150206,1694,1540
20150522,1540,1400
20150821,1320,1200
20151228,1144,1040
20160408,1056,960
20160708,1155,1050
20161103,1276,1160
20161118,1430,1300
20170303,1265,1150
20170407,1100,1000
20170811,1188,1080
20170911,1298,1180
20171208,1144,1040
20171219,1034,940
20180109,880,800
20180220,792,720
20190314,726,660
20190628,792,720
20190809,902,820
20190906,1078,980
20191004,1144,1040
20200109,1210,1100
20200303,1320,1200
20200317,1540,1400
20200320,1760,1600
20200326,1980,1800
20200619,1760,1600
20200724,1980,1800
20200728,2200,2000
20200807,2530,2300
20200812,2915,2650
20201002,3300,3000
20201016,3740,3400
20201117,3300,3000
20201204,3080,2800
20210202,3630,3300
20210507,3300,3000
20210709,2970,2700
20210929,2750,2500
20211029,2530,2300
20211217,2277,2070
20220105,2090,1900
