#expiry,open,high,low,close,volume,open_interest
201310,1296.1,1301,1285,1285,27,296
201311,1296.7,1301.3,1284.7,1286.1,92,161
201312,1298.3,1303.6,1281,1287.5,56569,226118
201402,1298.4,1303.6,1282,1288,1555,39098
201404,1297.5,1302.9,1286.5,1286.5,935,23837
201406,1298.7,1303.4,1292.8,1292.8,220,18506
201408,1301.2,1301.2,1301.2,1301.2,5,7382
201410,1306.2,1315.9,1305.2,1315.9,0,3987
201412,1301.9,1302.8,1287.5,1290.6,46,16489
201502,1312.9,1312.9,1287.35,1293.85,0,1826
201504,1314.1,1314.1,1288.85,1295.35,0,875
201506,1309.9,1317.2,1307.8,1317.2,45,9566
201508,1314.4,1315.95,1292.35,1298.85,0,300
201512,1323.6,1323.7,1323.6,1323.6,143,13153
201606,1333.1,1333.1,1332.9,1332.9,50,1796
201612,1345.5,1345.5,1345.1,1345.5,120,5122
201706,1355.35,1355.35,1330.45,1336.95,0,1405
201712,1380.5,1380.5,1380.5,1380.5,2,6641
201806,1408.8,1408.8,1384.05,1390.55,0,167
201812,1433.15,1433.15,1407.75,1414.25,0,33
201906,1445.9,1445.9,1420.6,1427.1,0,
