#symbol_id,symbol_value,open,high,low,close,volume,open_interest
GC VV4SD90B0RZ1,GC29V14,1263.8,1264,1251.1,1254.7,5662,
GC VWSUMYBLOSRH,GC29Z14,1264.5,1265.1,1252.1,1256.1,72150,
GC VYDYKDJE4K2L,GC25G15,1262,1262.6,1253.6,1256.4,1753,
GC W030A67UVC0T,GC28J15,1266.4,1266.4,1254.4,1256.7,3460,
GC W1P3NOSTDUHP,GC26M15,1261.7,1261.7,1255.4,1256.9,944,
GC W3E5DHHA4MFX,GC27Q15,1262.5,1262.5,1256,1257.9,81,
GC W6S8T2U7M6CD,GC29Z15,1270,1270.3,1259.7,1260.4,628,
GC WBRG63EXJHJX,GC28M16,1265.9,1267.4,1265.9,1267.4,75,
GC WGRMZ7CTJJX9,GC28Z16,1275.6,1275.6,1275.5,1275.5,7,
GC WLQUC7XJGV4T,GC28M17,1299.2,1299.2,1283.35,1287.15,0,
GC WQQ1P8I9E6CD,GC27Z17,1313.9,1313.9,1048.8,1300.5,0,
GC WVP9292ZBHJX,GC27M18,1332.45,1334.8,1312.5,1316.35,0,
GC X0PFVD0VBJX9,GC27Z18,1348.25,1348.25,1329.45,1333.3,0,
GC X5NNSA8F63Z1,GC26M19,1359.95,1366.95,1345.95,1353.6,0,
GC XD6FPZTU7L3X,GC27H20,0,0,0,0,0,
GC XE1Y0ZJ8NQ8T,GC28J20,0,0,0,0,0,
