18991230,fesx,EUREX
19980831,fesx re66j19yqtut,EUREX,1
19980917,fesx re66j19yqtut,EUREX,0
19981130,fesx rgns7jkbphgl,EUREX,1
19981217,fesx rgns7jkbphgl,EUREX,0
19990228,fesx rj5dw1uoo52d,EUREX,1
19990318,fesx rj5dw1uoo52d,EUREX,0
19990531,fesx rlmzkk51mso5,EUREX,1
19990617,fesx rlmzkk51mso5,EUREX,0
19990831,fesx ro4l92felg9x,EUREX,1
19990916,fesx ro4l92felg9x,EUREX,0
19991130,fesx rqm6xkprk3vp,EUREX,1
19991216,fesx rqm6xkprk3vp,EUREX,0
20000229,fesx rt3sm304irhh,EUREX,1
20000316,fesx rt3sm304irhh,EUREX,0
20000531,fesx rvlealahhf39,EUREX,1
20000615,fesx rvlealahhf39,EUREX,0
20000831,fesx ry2zz3kug2p1,EUREX,1
20000914,fesx ry2zz3kug2p1,EUREX,0
20001130,fesx s0klnlv7eqat,EUREX,1
20001214,fesx s0klnlv7eqat,EUREX,0
20010228,fesx s327c45kddwl,EUREX,1
20010315,fesx s327c45kddwl,EUREX,0
20010531,fesx s5jt0mfxc1id,EUREX,1
20010614,fesx s5jt0mfxc1id,EUREX,0
20010831,fesx s88atsagtz8l,EUREX,1
20010920,fesx s88atsagtz8l,EUREX,0
20011130,fesx sapwiaktsmud,EUREX,1
20011220,fesx sapwiaktsmud,EUREX,0
20020228,fesx sd0m25b080bp,EUREX,1
20020314,fesx sd0m25b080bp,EUREX,0
20020531,fesx sfp3vb5jpy1x,EUREX,1
20020620,fesx sfp3vb5jpy1x,EUREX,0
20020831,fesx si6pjtfwolnp,EUREX,1
20020919,fesx si6pjtfwolnp,EUREX,0
20021130,fesx skob8bq9n99h,EUREX,1
20021219,fesx skob8bq9n99h,EUREX,0
20030228,fesx sn5wwu0mlwv9,EUREX,1
20030320,fesx sn5wwu0mlwv9,EUREX,0
20030531,fesx spnilcazkkh1,EUREX,1
20030619,fesx spnilcazkkh1,EUREX,0
20030831,fesx ss549ulcj82t,EUREX,1
20030918,fesx ss549ulcj82t,EUREX,0
20031130,fesx sumpycvphvol,EUREX,1
20031218,fesx sumpycvphvol,EUREX,0
20040229,fesx sx4bmv62gjad,EUREX,1
20040318,fesx sx4bmv62gjad,EUREX,0
20040531,fesx szlxbdgff6w5,EUREX,1
20040617,fesx szlxbdgff6w5,EUREX,0
20040831,fesx t23izvqsduhx,EUREX,1
20040916,fesx t23izvqsduhx,EUREX,0
20041130,fesx t4l4oe15ci3p,EUREX,1
20041216,fesx t4l4oe15ci3p,EUREX,0
20050228,fesx t72qcwbib5ph,EUREX,1
20050317,fesx t72qcwbib5ph,EUREX,0
20050531,fesx t9kc1elv9tb9,EUREX,1
20050616,fesx t9kc1elv9tb9,EUREX,0
20050831,fesx tc1xpww88gx1,EUREX,1
20050915,fesx tc1xpww88gx1,EUREX,0
20051130,fesx tejjef6l74it,EUREX,1
20051215,fesx tejjef6l74it,EUREX,0
20060228,fesx th152xgy5s4l,EUREX,1
20060316,fesx th152xgy5s4l,EUREX,0
20060531,fesx tjiqrfrb4fqd,EUREX,1
20060615,fesx tjiqrfrb4fqd,EUREX,0
20060831,fesx tm0cfy1o33c5,EUREX,1
20060914,fesx tm0cfy1o33c5,EUREX,0
20061130,fesx tohy4gc11qxx,EUREX,1
20061214,fesx tohy4gc11qxx,EUREX,0
20070228,fesx tqzjsyme0ejp,EUREX,1
20070315,fesx tqzjsyme0ejp,EUREX,0
20070531,fesx tth5hgwqz25h,EUREX,1
20070614,fesx tth5hgwqz25h,EUREX,0
20070831,fesx tw5namragzvp,EUREX,1
20070920,fesx tw5namragzvp,EUREX,0
20071130,fesx tyn8z51nfnhh,EUREX,1
20071220,fesx tyn8z51nfnhh,EUREX,0
20080229,fesx u14unnc0eb39,EUREX,1
20080320,fesx u14unnc0eb39,EUREX,0
20080531,fesx u3mgc5mdcyp1,EUREX,1
20080619,fesx u3mgc5mdcyp1,EUREX,0
20080831,fesx u6420nwqbmat,EUREX,1
20080918,fesx u6420nwqbmat,EUREX,0
20081130,fesx u8lnp673a9wl,EUREX,1
20081218,fesx u8lnp673a9wl,EUREX,0
20090228,fesx ub39dohg8xid,EUREX,1
20090319,fesx ub39dohg8xid,EUREX,0
20090531,fesx udkv26rt7l45,EUREX,1
20090618,fesx udkv26rt7l45,EUREX,0
20090831,fesx ug2gqp2668px,EUREX,1
20090917,fesx ug2gqp2668px,EUREX,0
20091130,fesx uik2f7cj4wbp,EUREX,1
20091217,fesx uik2f7cj4wbp,EUREX,0
20100228,fesx ul1o3pmw3jxh,EUREX,1
20100318,fesx ul1o3pmw3jxh,EUREX,0
20100531,fesx unj9s7x927j9,EUREX,1
