date,initial,maintenance
20160601,7993,6397
20160704,8416,6734
20160801,8861,7088
20160901,9198,7354
20161003,9541,7633
20161101,9542,7633
20161201,9154,7323
20170103,8799,7039
20170201,9234,7391
20170301,9628,7703
20170320,10088,8070
20170403,10439,8351
20170502,10272,8218
20170601,10847,8678
20170703,10918,8734
20170801,11440,9152
20170901,11702,9362
20171003,11833,9467
20171101,12010,9608
20171201,12691,10153
20180102,12475,9980
20180201,14099,11279
20180208,16355,13084
20180215,17513,14010
20180301,18658,14926
20180305,18644,14915
20180403,18420,14736
20180502,17943,14355
20180601,18216,14573
20180703,17412,13930
20180801,16995,13596
20180903,14029,11223
20181002,13987,11190
20181101,12837,10270
20181203,13215,10572
20190102,13012,10409
20190201,13780,11024
20190301,14573,11658
20190401,14791,11833
20190502,15233,12186
20190603,13909,11127
20190702,14537,11630
20190801,14557,11646
20190902,13287,10629
20191002,13298,10638
20191101,13508,10807
20191202,13480,10784
20200102,14246,11397
20200203,14344,11475
20200302,14070,11256
20200313,16137,12910
20200320,16982,13586
20200323,17929,14343
20200327,19936,15949
20200401,19935,15948
20200504,16948,13558
20200601,16952,13562
