date,initial,maintenance
20090108,7040,6400
20090122,6600,6000
20090528,7700,7000
20090626,6600,6000
20090821,4400,4000
20091215,4950,4500
20100212,5500,5000
20100302,5500,5000
20100430,4675,4250
20100607,5500,5000
20101001,5500,5000
20101111,7150,6500
20101116,7975,7250
20101217,8525,7750
20110121,9075,8250
20110204,9075,8250
20110325,9570,8700
20110426,10450,9500
20110429,11825,10750
20110503,13200,12000
20110505,15400,14000
20110509,17600,16000
20110926,20350,18500
20120213,17600,16000
20120416,15400,14000
20120806,13750,12500
20121120,12100,11000
20130212,10450,9500
20130416,12375,11250
20130614,12375,11250
20131122,11000,10000
20140404,9900,9000
20140516,9075,8250
20140714,8250,7500
20140822,7150,6500
20141010,6050,5500
20141205,7150,6500
20150130,7920,7200
20150206,8470,7700
20150522,7700,7000
20150821,6600,6000
20151228,5720,5200
20160408,5280,4800
20160816,5775,5250
