date,initial,maintenance
20040102,1755,1300
20040226,1553,1150
20040407,1755,1300
20040624,1620,1200
20040730,1350,1000
20041026,1215,900
20041124,1148,850
20050301,1013,750
20051205,878,650
20060209,810,600
20060606,878,650
20060821,810,600
20061108,878,650
20070301,1013,750
20070424,878,650
20070615,945,700
20070730,1148,850
20071127,1350,1000
20071217,1620,1200
20090414,2200,2000
20090519,1980,1800
20091127,1650,1500
20100305,1210,1100
20100510,1430,1300
20100720,1540,1400
20101217,1760,1600
20110606,1430,1300
20110621,1210,1100
20110725,1430,1300
20110811,1760,1600
20120117,1430,1300
20120203,1210,1100
20130702,1375,1250
20130710,1622.5,1475
20140409,1430,1300
20140919,1320,1200
20150120,1485,1350
20160408,1375,1250
20160627,1485,1350
