date,initial,maintenance
20130108,4600,4181
20130207,4675,4250
20130307,4523,4111
20130405,4675,4250
20130708,4600,4181
20130807,4675,4250
20130909,4517,4106
20131007,4675,4250
20131107,4597,4179
20131206,4675,4250
20140108,4600,4181
20140207,4675,4250
20140507,4600,4181
20140606,4675,4250
20140708,4600,4181
20140903,4597,4179
20141002,4675,4250
20141104,4517,4106
20141202,4675,4250
20150105,7980,7254
20150203,8250,7500
20150303,8116,7378
20150402,8250,7500
20150504,7980,7254
20150602,8250,7500
20150804,7980,7254
20150902,8250,7500
20151103,8112,7374
20151202,8250,7500
20160105,7841,7128
20160202,8250,7500
20160404,7031,6391
20160503,7034,6394
20160602,7150,6500
20160705,6795,6177
20160802,7150,6500
20161004,4150,3772
20161102,4290,3900
20161202,2200,2000
20170104,2128,1934
20170202,2200,2000
20170302,2750,2500
20170404,2657,2415
20170502,2750,2500
20170705,2614,2376
20170802,2750,2500
20170905,2657,2415
20171003,2705,2459
20171102,2750,2500
20171204,2705,2459
20180202,2750,2500
20180403,2704,2458
20180502,2750,2500
20180604,2704,2458
20180703,2705,2459
20180802,2750,2500
20180905,2610,2372
20181002,2750,2500
20181102,3850,3500
20181204,3788,3443
20190103,3850,3500
20190304,3724,3385
20190402,3300,3000
20190502,2750,2500
20190604,2657,2415
20190702,2750,2500
20190904,2923,2657
20191002,3850,3500
20191104,3056,2778
20191202,3163,2875
20200204,2433,2211
20200303,2435,2213
20200402,3025,2750
20200504,3193,2902
