date,initial,maintenance
20120504,99000,90000
20130130,30925,28113
20130131,27660,25145
20130201,23954,21776
20130228,29104,26458
20130301,25205,22913
20130328,30925,28113
20130329,27660,25145
20130429,28116,25560
20130430,24350,22136
20130501,19882,18074
20130528,36590,33263
20130529,33876,30796
20130530,30925,28113
20130531,27660,25145
20130628,28116,25560
20130726,36590,33263
20130729,27660,25145
20130730,23954,21776
20130731,19558,17780
20130801,13830,12572
20130828,33876,30796
20130829,30925,28113
20130830,27660,25145
20130927,31435,28577
20130930,19882,18074
20131001,14058,12780
20131030,30925,28113
20131031,27660,25145
20131101,23954,21776
20131128,31435,28577
20131129,28116,25560
20131227,36590,33263
20131230,27660,25145
20131231,23954,21776
20140129,33876,30796
20140130,30925,28113
20140131,27660,25145
20140228,29104,26458
20140328,30925,28113
20140331,19558,17780
20140401,13830,12572
20140430,31435,28577
20140501,28116,25560
20140528,33876,30796
20140529,30925,28113
20140530,27660,25145
20140627,31435,28577
20140630,19882,18074
20140701,14058,12780
20140730,30925,28113
20140731,27660,25145
20140801,23954,21776
20140828,30925,28113
20140829,27660,25145
20140926,34436,31305
20140929,24350,22136
20140930,19882,18074
20141001,14058,12780
20141029,33876,30796
20141030,30925,28113
20141031,27660,25145
20141128,28116,25560
20150102,23954,21776
20150129,30925,28113
20150130,27660,25145
20150227,29104,26458
20150327,33876,30796
20150330,23954,21776
20150331,19558,17780
20150401,13830,12572
20150429,34436,31305
20150430,31435,28577
20150501,28116,25560
20150528,33876,30796
20150529,30925,28113
20150601,19558,17780
20150626,34436,31305
20150629,24350,22136
20150630,19882,18074
20150701,14058,12780
20150729,33876,30796
20150730,30925,28113
20150731,27660,25145
20150828,30925,28113
20150831,19558,17780
20150901,13830,12572
20150928,28116,25560
20150929,24350,22136
20150930,19882,18074
20151001,14058,12780
20151028,33876,30796
20151029,30925,28113
20151030,27660,25145
20151127,31435,28577
20151130,19882,18074
20151201,14058,12780
20151230,33876,30796
20160129,27660,25145
20160226,31973,29066
20160229,20222,18383
20160301,14299,12999
20160330,30925,28113
20160331,27660,25145
20160401,23954,21776
20160428,34436,31305
20160429,31435,28577
20160502,19882,18074
20160527,33876,30796
20160530,23954,21776
20160531,19558,17780
20160601,13830,12572
20160629,31435,28577
20160630,28116,25560
20160701,24350,22136
20160728,30925,28113
20160729,27660,25145
20160826,36590,33263
20160829,27660,25145
20160830,23954,21776
20160831,19558,17780
20160901,13830,12572
20160928,34436,31305
20160929,31435,28577
20161128,14861,13510
20161129,12870,11700
20161130,10509,9553
20161201,7431,6755
20161228,19341,17582
20161229,17906,16278
20161230,16346,14860
20170102,10338,9398
20170127,17906,16278
20170130,12661,11510
20170131,10338,9398
20170201,7310,6645
20170228,10878,9889
20170301,7692,6992
20170329,17906,16278
20170330,16346,14860
20170331,14621,13291
