date,initial,maintenance
20120213,2750,2500
20120416,2475,2250
20120529,2750,2500
20120806,3080,2800
20121120,2640,2400
20130102,85,77
20130103,2640,2400
20130107,2385,2168
20130108,2299,2090
20130109,2215,2013
20130110,2129,1935
20130111,2044,1858
20130114,1789,1626
20130115,1703,1548
20130116,1619,1471
20130117,1534,1394
20130118,1448,1316
20130121,1193,1084
20130122,1107,1006
20130123,1022,929
20130124,938,852
20130125,852,774
20130128,597,542
20130129,512,465
20130130,426,387
20130131,341,310
20130201,256,232
20130204,2640,2400
20130205,2228,2025
20130206,2145,1950
20130207,2063,1875
20130208,1980,1800
20130211,1733,1575
20130212,1650,1500
20130213,1568,1425
20130214,1485,1350
20130215,1403,1275
20130218,1155,1050
20130219,1073,975
20130220,990,900
20130221,908,825
20130222,825,750
20130225,578,525
20130226,495,450
20130227,413,375
20130228,330,300
20130301,248,225
20130304,2162,1965
20130305,2087,1897
20130306,2012,1829
20130307,1938,1761
20130308,1864,1694
20130311,1639,1490
20130312,1566,1423
20130313,1491,1355
20130314,1416,1287
20130315,1341,1219
20130318,1118,1016
20130319,1043,948
20130320,970,881
20130321,895,813
20130322,820,745
20130325,597,542
20130326,522,474
20130327,447,406
20130328,373,339
20130329,299,271
20130401,75,68
20130402,2310,2100
20130403,2233,2030
20130404,2156,1960
20130405,2079,1890
20130408,1848,1680
20130409,1771,1610
20130410,1694,1540
20130411,1617,1470
20130412,1540,1400
20130415,1309,1190
20130416,1232,1120
20130417,1155,1050
20130418,1078,980
20130419,1001,910
20130422,770,700
20130423,693,630
20130424,616,560
20130425,539,490
20130426,462,420
20130429,231,210
20130430,154,140
20130501,77,70
20130502,2310,2100
20130506,2162,1965
20130507,2087,1897
20130508,2012,1829
20130509,1938,1761
20130510,1864,1694
20130513,1639,1490
20130514,1566,1423
20130515,1491,1355
20130516,1416,1287
20130517,1341,1219
20130520,1118,1016
20130521,1043,948
20130522,970,881
20130523,895,813
20130524,820,745
20130527,597,542
20130528,522,474
20130529,447,406
20130530,373,339
20130531,299,271
20130603,75,68
20130604,2156,1960
20130605,2079,1890
20130606,2002,1820
20130607,1925,1750
20130610,1694,1540
20130611,1733,1575
20130612,1650,1500
20130613,1568,1425
20130614,1485,1350
20130617,1238,1125
20130618,1155,1050
20130619,1073,975
20130620,990,900
20130621,908,825
20130624,660,600
20130625,578,525
20130626,495,450
20130627,413,375
20130628,330,300
20130701,83,75
20130702,2750,2500
20130703,2661,2419
20130704,2573,2339
20130705,2484,2258
20130708,2218,2016
20130709,2129,1935
20130710,2041,1855
20130711,1952,1774
20130712,1864,1694
20130715,1598,1452
20130716,1509,1371
20130717,1419,1290
20130718,1331,1210
20130719,1242,1129
20130722,976,887
20130723,887,806
20130724,799,726
20130725,710,645
20130726,622,565
20130729,356,323
20130730,267,242
20130731,178,161
20130801,90,81
20130802,2750,2500
20130805,2661,2419
20130806,2573,2339
20130807,2484,2258
20130808,2395,2177
20130809,2307,2097
20130812,2041,1855
20130813,1952,1774
20130814,1864,1694
20130815,1775,1613
20130816,1686,1532
