date,initial,maintenance
20121120,2310,2100
20130205,2200,2000
20130206,1980,1800
20130702,2530,2300
20130703,2310,2100
20131015,2255,2050
20131016,2035,1850
20131122,1925,1750
20131125,1705,1550
20140314,1650,1500
20140317,1540,1400
20140328,2090,1900
20140331,1540,1400
20140401,2090,1900
20140402,1540,1400
20140501,2090,1900
20140502,1540,1400
20140701,2090,1900
20140702,1540,1400
20140725,1815,1650
20140728,1540,1400
20140801,1815,1650
20140804,1540,1400
20140905,1980,1800
20140908,1705,1550
20141001,1980,1800
20141002,1705,1550
20141117,2420,2200
20141118,2090,1900
20141201,2420,2200
20141202,3080,2800
20141203,2970,2700
20150401,3080,2800
20150402,2970,2700
20150501,3080,2800
20150504,2970,2700
20150508,2860,2600
20150511,2750,2500
20150601,2860,2600
20150602,2750,2500
20150619,2640,2400
20150622,2530,2300
20150701,2640,2400
20150702,2530,2300
20150708,3036,2760
20150709,2910,2645
20150828,3245,2950
20150901,3036,2760
20150902,3245,2950
20150904,3498,3180
20151001,3520,3200
20151002,3498,3180
20151201,3520,3200
20151202,3498,3180
20160115,3300,3000
20160118,3278,2980
20160201,3300,3000
20160202,3278,2980
20160301,3300,3000
20160302,3278,2980
20160311,2860,2600
20160314,2728,2480
20160401,2860,2600
20160404,2728,2480
20160520,2585,2350
20160523,2453,2230
20160601,2585,2350
20160602,2453,2230
20160701,2585,2350
20160704,2453,2230
20160801,2585,2350
20160802,2453,2230
20160901,2585,2350
20160902,2453,2230
20160930,2200,2000
20161003,2013,1830
20161101,2200,2000
20161102,2013,1830
20161201,2200,2000
20161202,2013,1830
20161209,2200,2000
20170120,1980,1800
20170310,1705,1550
20170505,1540,1400
20180202,1485,1350
20180205,1430,1300
20180301,1485,1350
20180302,1430,1300
20180601,1760,1600
20180604,1788,1625
20180713,2145,1950
20180718,2778,2525
20180719,2750,2500
20180801,2778,2525
20180802,2750,2500
20180903,2695,2450
20180904,2750,2500
20180914,2420,2200
20180917,2310,2100
20181001,2420,2200
20181002,2310,2100
20181101,2420,2200
20181102,2310,2100
20181115,2723,2475
20181207,3080,2800
20190213,2750,2500
20190426,2448,2225
20190531,2613,2375
20190712,2970,2700
20190715,2915,2650
20190719,3300,3000
20190722,3245,2950
20190801,3300,3000
20190802,3245,2950
20190815,3740,3400
20190816,3630,3300
20190902,3190,2900
20190903,4180,3800
20190904,4070,3700
20190918,4895,4450
20190919,4785,4350
20190927,5665,5150
20190930,5500,5000
20191001,5665,5150
20191002,5500,5000
20191101,5665,5150
20191104,5500,5000
20191206,4950,4500
20200110,4125,3750
20200221,3630,3300
20200310,4730,4300
20200318,5390,4900
20200401,5500,5000
20200402,5390,4900
20200501,5500,5000
20200504,5390,4900
