date,initial,maintenance
20111212,1100,1000
20130102,484,440
20130103,443,402
20130104,395,359
20130107,198,180
20130108,1083,984
20130109,1064,967
20130110,1045,950
20130111,1027,933
20130114,968,880
20130115,948,861
20130116,927,842
20130117,906,823
20130118,884,803
20130121,816,741
20130122,790,718
20130123,766,696
20130124,740,672
20130125,713,648
20130128,625,568
20130129,593,539
20130130,559,508
20130131,523,475
20130201,484,440
20130204,343,311
20130205,280,254
20130206,198,180
20130207,1100,1000
20130208,1081,982
20130211,1019,926
20130212,997,906
20130213,975,886
20130214,953,866
20130215,930,845
20130218,857,779
20130219,832,756
20130220,806,732
20130221,778,707
20130222,750,681
20130225,658,598
20130226,624,567
20130227,589,535
20130228,550,500
20130301,510,463
20130304,360,327
20130305,294,267
20130306,208,189
20130307,1064,967
20130308,1045,950
20130311,988,898
20130312,968,880
20130313,948,861
20130314,927,842
20130315,906,823
20130318,839,762
20130319,816,741
20130320,790,718
20130321,766,696
20130322,740,672
20130325,656,596
20130326,625,568
20130327,593,539
20130328,559,508
20130329,523,475
20130401,395,359
20130402,343,311
20130403,280,254
20130404,198,180
20130405,1100,1000
20130408,1082,983
20130409,1063,966
20130410,1044,949
20130411,1025,931
20130412,1005,913
20130415,942,856
20130416,921,837
20130417,898,816
20130418,876,796
20130419,853,775
20130422,778,707
20130423,752,683
20130424,724,658
20130425,696,632
20130426,667,606
20130429,568,516
20130430,532,483
20130501,492,447
20130502,449,408
20130503,402,365
20130506,202,183
20130507,1100,1000
20130508,1083,984
20130509,1064,967
20130510,1045,950
20130513,988,898
20130514,968,880
20130515,948,861
20130516,927,842
20130517,906,823
20130520,839,762
20130521,816,741
20130522,790,718
20130523,766,696
20130524,740,672
20130527,656,596
20130528,625,568
20130529,593,539
20130530,559,508
20130531,523,475
20130603,395,359
20130604,343,311
20130605,280,254
20130606,198,180
20130607,1100,1000
20130610,1063,966
20130611,1044,949
20130612,1025,931
20130613,1005,913
20130614,984,894
20130617,921,837
20130618,898,816
20130619,876,796
20130620,853,775
20130621,829,753
20130624,752,683
20130625,724,658
20130626,696,632
20130627,667,606
20130628,635,577
20130701,532,483
20130702,492,447
20130703,449,408
20130704,402,365
20130705,348,316
20130708,1083,984
20130709,1064,967
20130710,1045,950
20130711,1027,933
20130712,1008,916
20130715,948,861
20130716,927,842
20130717,906,823
20130718,884,803
20130719,862,783
20130722,790,718
20130723,766,696
20130724,740,672
20130725,713,648
20130726,685,622
20130729,593,539
20130730,559,508
20130731,523,475
20130801,484,440
20130802,443,402
20130805,280,254
20130806,198,180
20130807,1100,1000
20130812,1045,950
20130813,1027,933
20130814,1008,916
20130815,988,898
20130816,968,880
20130819,906,823
20130820,884,803
20130821,862,783
20130822,839,762
20130823,816,741
20130826,740,672
20130827,713,648
20130828,685,622
20130829,656,596
20130830,625,568
20130902,523,475
20130903,484,440
20130904,443,402
20130905,395,359
20130906,343,311
20130909,1063,966
20130910,1044,949
20130911,1025,931
20130912,1005,913
20130913,984,894
20130916,921,837
