date,initial,maintenance
20130102,872,792
20130103,796,723
20130104,712,647
20130107,356,323
20130108,1949,1771
20130109,1916,1741
20130110,1883,1711
20130111,1848,1680
20130114,1743,1584
20130115,1705,1550
20130116,1668,1516
20130117,1630,1481
20130118,1591,1446
20130121,1467,1333
20130122,1423,1293
20130123,1378,1252
20130124,1331,1210
20130125,1283,1166
20130128,1125,1022
20130129,1067,970
20130130,1006,914
20130131,941,855
20130201,872,792
20130204,616,560
20130205,503,457
20130206,356,323
20130207,1980,1800
20130208,1945,1768
20130211,1833,1666
20130212,1795,1631
20130213,1756,1596
20130214,1715,1559
20130215,1674,1521
20130218,1544,1403
20130219,1498,1361
20130220,1449,1317
20130221,1401,1273
20130222,1349,1226
20130225,1184,1076
20130226,1124,1021
20130227,1059,962
20130228,990,900
20130301,917,833
20130304,648,589
20130305,530,481
20130306,374,340
20130307,1916,1741
20130308,1883,1711
20130311,1778,1616
20130312,1743,1584
20130313,1705,1550
20130314,1668,1516
20130315,1630,1481
20130318,1510,1372
20130319,1467,1333
20130320,1423,1293
20130321,1378,1252
20130322,1331,1210
20130325,1180,1072
20130326,1125,1022
20130327,1067,970
20130328,1006,914
20130329,941,855
20130401,712,647
20130402,616,560
20130403,503,457
20130404,356,323
20130405,1980,1800
20130408,1947,1770
20130409,1913,1739
20130410,1879,1708
20130411,1844,1676
20130412,1808,1643
20130415,1696,1541
20130416,1657,1506
20130417,1617,1470
20130418,1576,1432
20130419,1534,1394
20130422,1401,1273
20130423,1353,1230
20130424,1304,1185
20130425,1252,1138
20130426,1199,1090
20130429,1023,930
20130430,956,869
20130501,886,805
20130502,809,735
20130503,723,657
20130506,362,329
20130507,1980,1800
20130508,1949,1771
20130509,1916,1741
20130510,1883,1711
20130513,1778,1616
20130514,1743,1584
20130515,1705,1550
20130516,1668,1516
20130517,1630,1481
20130520,1510,1372
20130521,1467,1333
20130522,1423,1293
20130523,1378,1252
20130524,1331,1210
20130527,1180,1072
20130528,1125,1022
20130529,1067,970
20130530,1006,914
20130531,941,855
20130603,712,647
20130604,616,560
20130605,503,457
20130606,356,323
20130607,1980,1800
20130610,1913,1739
20130611,1879,1708
20130612,1844,1676
20130613,1808,1643
20130614,1771,1610
20130617,1657,1506
20130618,1617,1470
20130619,1576,1432
20130620,1534,1394
20130621,1491,1355
20130624,1353,1230
20130625,1304,1185
20130626,1252,1138
20130627,1199,1090
20130628,1143,1039
20130701,956,869
20130702,886,805
20130703,809,735
20130704,723,657
20130705,626,569
20130708,1949,1771
20130709,1916,1741
20130710,1883,1711
20130711,1848,1680
20130712,1813,1648
20130715,1705,1550
20130716,1668,1516
20130717,1630,1481
20130718,1591,1446
20130719,1550,1409
20130722,1423,1293
20130723,1378,1252
20130724,1331,1210
20130725,1283,1166
20130726,1232,1120
20130729,1067,970
20130730,1006,914
20130731,941,855
20130801,872,792
20130802,796,723
20130805,503,457
20130806,356,323
20130807,1980,1800
20130812,1883,1711
20130813,1848,1680
20130814,1813,1648
20130815,1778,1616
20130816,1743,1584
20130819,1630,1481
20130820,1591,1446
20130821,1550,1409
20130822,1510,1372
20130823,1467,1333
20130826,1331,1210
20130827,1283,1166
20130828,1232,1120
20130829,1180,1072
20130830,1125,1022
20130902,941,855
20130903,872,792
20130904,796,723
20130905,712,647
20130906,616,560
20130909,1913,1739
20130910,1879,1708
20130911,1844,1676
20130912,1808,1643
20130913,1771,1610
20130916,1657,1506
20130917,1617,1470
20130918,1576,1432
20130919,1534,1394
20130920,1491,1355
20130923,1353,1230
20130924,1304,1185
20130925,1252,1138
20130926,1199,1090
20130927,1143,1039
20130930,956,869
20131001,886,805
20131002,809,735
20131003,723,657
20131004,626,569
20131007,1980,1800
20131008,1949,1771
20131009,1916,1741
20131010,1883,1711
20131011,1848,1680
20131014,1743,1584
20131015,1705,1550
20131016,1668,1516
20131017,1630,1481
20131018,1591,1446
20131021,1467,1333
20131022,1423,1293
20131023,1378,1252
20131024,1331,1210
20131025,1283,1166
20131028,1125,1022
20131029,1067,970
20131030,1006,914
20131031,941,855
20131101,872,792
20131104,616,560
20131105,503,457
20131106,356,323
20131107,1947,1770
20131108,1913,1739
20131111,1808,1643
20131112,1771,1610
20131113,1734,1576
20131114,1696,1541
20131115,1657,1506
20131118,1534,1394
20131119,1491,1355
20131120,1447,1315
20131121,1401,1273
20131122,1353,1230
20131125,1199,1090
20131126,1143,1039
20131127,1085,986
20131128,1023,930
20131129,956,869
20131202,723,657
20131203,626,569
20131204,512,465
20131205,362,329
20131206,1980,1800
20131209,1949,1771
20131210,1916,1741
20131211,1883,1711
20131212,1848,1680
20131213,1813,1648
20131216,1705,1550
20131217,1668,1516
20131218,1630,1481
20131219,1591,1446
20131220,1550,1409
20131223,1423,1293
20131224,1378,1252
20131225,1331,1210
20131226,1283,1166
20131227,1232,1120
20131230,1067,970
20131231,1006,914
20140102,872,792
20140103,796,723
20140106,503,457
20140107,356,323
20140108,1949,1771
20140109,1916,1741
20140110,1883,1711
20140113,1778,1616
20140114,1743,1584
20140115,1705,1550
20140116,1668,1516
20140117,1630,1481
20140120,1510,1372
20140121,1467,1333
20140122,1423,1293
20140123,1378,1252
20140124,1331,1210
20140127,1180,1072
20140128,1125,1022
20140129,1067,970
20140130,1006,914
20140131,941,855
20140203,712,647
20140204,616,560
20140205,503,457
20140206,356,323
20140207,1980,1800
20140210,1872,1701
20140211,1833,1666
20140212,1795,1631
20140213,1756,1596
20140214,1715,1559
20140217,1588,1443
20140218,1544,1403
20140219,1349,1226
20140220,1296,1178
20140221,1241,1128
20140224,1059,962
20140225,990,900
20140226,917,833
20140227,838,761
20140228,748,680
20140303,374,340
20140304,1916,1741
20140305,1883,1711
20140306,1848,1680
20140307,1813,1648
20140310,1705,1550
20140311,1668,1516
20140312,1630,1481
20140313,1591,1446
20140314,1550,1409
20140317,1423,1293
20140318,1378,1252
20140319,1331,1210
20140320,1283,1166
20140321,1232,1120
20140324,1067,970
20140325,1006,914
20140326,941,855
20140327,872,792
20140328,796,723
20140331,503,457
20140401,356,323
20140402,1980,1800
20140403,1947,1770
20140404,1913,1739
20140407,1808,1643
20140408,1771,1610
20140409,1734,1576
20140410,1696,1541
20140411,1657,1506
20140414,1534,1394
20140415,1491,1355
20140416,1447,1315
20140417,1401,1273
20140418,1353,1230
20140421,1199,1090
20140422,1143,1039
20140423,1085,986
20140424,1023,930
20140425,956,869
20140428,723,657
20140429,626,569
20140430,512,465
20140501,362,329
20140502,1980,1800
20140505,1916,1741
20140506,1883,1711
20140507,1848,1680
20140508,1813,1648
20140509,1778,1616
20140512,1668,1516
20140513,1630,1481
20140514,1591,1446
20140515,1550,1409
20140516,1510,1372
20140519,1378,1252
20140520,1331,1210
20140521,1283,1166
20140522,1232,1120
20140523,1180,1072
20140526,1006,914
20140527,941,855
20140528,872,792
20140529,796,723
20140530,712,647
20140602,356,323
20140603,1947,1770
20140604,1913,1739
20140605,1879,1708
20140606,1844,1676
20140609,1734,1576
20140610,1696,1541
20140611,1657,1506
20140612,1617,1470
20140613,1576,1432
20140616,1447,1315
20140617,1401,1273
20140618,1353,1230
20140619,1304,1185
20140620,1252,1138
20140623,1085,986
20140624,1023,930
20140625,956,869
20140626,886,805
20140627,809,735
20140630,512,465
20140701,362,329
20140702,1980,1800
20140707,1883,1711
20140708,1848,1680
20140709,1813,1648
20140710,1778,1616
20140711,1743,1584
20140714,1630,1481
20140715,1591,1446
20140716,1550,1409
20140717,1510,1372
20140718,1467,1333
20140721,1331,1210
20140722,1283,1166
20140723,1232,1120
20140724,1180,1072
20140725,1125,1022
20140728,941,855
20140729,872,792
20140730,796,723
20140731,712,647
20140801,616,560
20140804,1949,1771
20140805,1916,1741
20140806,1883,1711
20140807,1848,1680
20140808,1813,1648
20140811,1705,1550
20140812,1668,1516
20140813,1630,1481
20140814,1591,1446
20140815,1550,1409
20140818,1423,1293
20140819,1378,1252
20140820,1331,1210
20140821,1283,1166
20140822,1232,1120
20140825,1067,970
20140826,1006,914
20140827,941,855
20140828,872,792
20140829,796,723
20140901,503,457
20140902,356,323
20140903,1947,1770
20140904,1913,1739
20140905,1879,1708
20140908,1771,1610
20140909,1734,1576
20140910,1696,1541
20140911,1657,1506
20140912,1617,1470
20140915,1491,1355
20140916,1447,1315
20140917,1401,1273
20140918,1353,1230
20140919,1666,1514
20140922,1461,1328
20140923,1386,1260
20140924,1307,1188
20140925,1223,1111
20140926,1132,1029
20140929,800,727
20140930,654,594
20141001,462,420
20141002,2530,2300
20141006,2448,2225
20141007,2405,2186
20141008,2361,2146
20141009,2317,2106
20141010,2272,2065
20141013,2132,1938
20141014,2083,1893
20141015,2032,1847
20141016,1982,1801
20141017,1929,1753
20141020,1760,1600
20141021,1701,1546
20141022,1638,1489
20141023,1575,1431
20141024,1507,1370
20141027,1285,1168
20141028,1203,1093
20141029,1114,1012
20141030,1017,924
20141031,909,826
20141103,455,413
20141104,2445,2222
20141105,2401,2182
20141106,2356,2141
20141107,2310,2100
20141110,2167,1970
20141111,2117,1924
20141112,2066,1878
20141113,2013,1830
20141114,1961,1782
20141117,1789,1626
20141118,1729,1571
20141119,1666,1514
20141120,1601,1455
20141121,1533,1393
20141124,1307,1188
20141125,1223,1111
20141126,1132,1029
20141127,1033,939
20141128,924,840
20141201,462,420
20141202,2530,2300
20141208,2405,2186
20141209,2361,2146
20141210,2317,2106
20141211,2272,2065
20141212,2227,2024
20141215,2083,1893
20141216,2032,1847
20141217,1982,1801
20141218,1929,1753
20141219,1874,1703
20141222,1701,1546
20141223,1638,1489
20141224,1575,1431
20141225,1507,1370
20141226,1437,1306
20141229,1203,1093
20141230,1114,1012
20150102,787,715
20150105,2448,2225
20150106,2405,2186
20150107,2361,2146
20150108,2317,2106
20150109,2272,2065
20150112,2132,1938
20150113,2083,1893
20150114,2032,1847
20150115,1982,1801
20150116,1929,1753
20150119,1760,1600
20150120,1701,1546
20150121,1638,1489
20150122,1575,1431
20150123,1507,1370
20150126,1285,1168
20150127,1203,1093
20150128,1114,1012
20150129,1017,924
20150130,909,826
20150202,455,413
20150203,2530,2300
20150204,2485,2259
20150205,2438,2216
20150206,2391,2173
20150209,2243,2039
20150210,2192,1992
20150211,2139,1944
20150212,2085,1895
20150213,2029,1844
20150216,1852,1683
20150217,1789,1626
20150218,1724,1567
20150219,1657,1506
20150220,2068,1880
20150223,1765,1604
20150224,1650,1500
20150225,1528,1389
20150226,1395,1268
20150227,1248,1134
20150302,624,567
20150303,3247,2951
20150304,3193,2902
20150305,3137,2851
20150306,3080,2800
20150309,2904,2640
20150310,2843,2584
20150311,2780,2527
20150312,2716,2469
20150313,2651,2410
20150316,2445,2222
20150317,2371,2155
20150318,2296,2087
20150319,2218,2016
20150320,2138,1943
20150323,1875,1704
20150324,1778,1616
20150325,1677,1524
20150326,1569,1426
20150327,1452,1320
20150330,1027,933
20150331,839,762
20150401,593,539
20150402,3300,3000
20150406,3188,2898
20150407,3131,2846
20150408,3073,2793
20150409,3013,2739
20150410,2952,2683
20150413,2761,2510
20150414,2694,2449
20150415,2626,2387
20150416,2557,2324
20150417,2484,2258
20150420,2254,2049
20150421,2173,1975
20150422,2087,1897
20150423,1999,1817
20150424,1906,1732
20150427,1594,1449
20150428,1477,1342
20150429,1348,1225
20150430,1205,1095
20150501,1044,949
20150504,3193,2902
20150505,3137,2851
20150506,3080,2800
20150507,3022,2747
20150508,2964,2694
20150511,2780,2527
20150512,2716,2469
20150513,2651,2410
20150514,2584,2349
20150515,2515,2286
20150518,2296,2087
20150519,2218,2016
20150520,2138,1943
20150521,2054,1867
20150522,1966,1787
20150525,1677,1524
