date,initial,maintenance
20111212,3300,3000
20121030,2310,2100
20130306,2236,2032
20130307,2310,2100
20140131,2970,2700
20140214,3520,3200
20140224,4400,4000
20140307,4436,4032
20140310,4400,4000
20140401,5500,5000
20140402,5317,4833
20140403,5134,4667
20140404,4950,4500
20140407,4400,4000
20140421,3300,3000
20140501,4400,4000
20140505,3975,3613
20140506,3833,3484
20140507,3691,3355
20140508,3549,3226
20140509,3407,3097
20140512,3300,3000
20140516,2414,2194
20140519,2200,2000
20140602,4254,3867
20140701,4400,4000
20140804,3726,3387
20140903,3722,3383
20141002,3850,3500
20141104,2772,2520
20141105,2673,2430
20141106,2574,2340
20141107,2475,2250
20141110,2200,2000
20141202,3630,3300
20141208,3280,2981
20141209,3162,2874
20141210,3080,2800
20141212,3410,3100
20150203,3630,3300
20150204,3501,3182
20150205,3410,3100
20150303,3514,3194
20150304,3410,3100
20150417,2750,2500
20150529,1925,1750
20150605,2090,1900
20150803,2023,1839
20150804,2090,1900
20160104,1955,1777
20160105,2090,1900
20160205,1760,1600
20160318,1650,1500
20160422,1540,1400
20160704,1441,1310
20160705,1540,1400
20160930,1430,1300
20161003,1384,1258
20161004,1430,1300
20161103,1320,1200
20161209,1430,1300
20170103,1384,1258
20170104,1441,1310
20170105,1430,1300
20170202,1540,1400
20170203,1485,1350
20170206,1430,1300
20170210,1870,1700
20170302,2200,2000
20170306,2059,1871
20170307,1987,1806
20170308,1917,1742
20170309,1870,1700
20170403,1808,1643
20170404,2054,1867
20170405,1980,1800
20170406,1907,1733
20170407,1870,1700
20170502,2200,2000
20170503,2129,1935
20170504,2059,1871
20170505,1987,1806
20170508,1870,1700
20170602,2200,2000
20170606,2127,1933
20170607,2054,1867
20170608,1980,1800
20170609,1907,1733
20170612,1870,1700
20170703,1810,1645
20170704,1749,1590
20170705,1987,1806
20170706,1917,1742
20170707,1870,1700
20170802,2200,2000
20170807,2059,1871
20170808,1987,1806
20170809,1917,1742
20170810,1870,1700
20170811,2090,1900
20170904,2021,1837
20170905,2259,2053
20170906,2178,1980
20170907,2098,1907
20170908,2090,1900
20171003,2342,2129
20171004,2264,2058
20171005,2186,1987
20171006,2108,1916
20171009,2090,1900
20171102,2420,2200
20171103,3410,3100
20171106,3183,2893
20171107,3069,2790
20171108,2956,2687
20171109,2842,2583
20171110,2750,2500
20171204,3300,3000
20171205,3190,2900
20171206,3080,2800
20171207,2970,2700
20171208,2860,2600
20171211,2750,2500
20180103,3300,3000
20180104,3190,2900
20180105,3080,2800
20180108,2750,2500
20180202,3410,3100
20180205,3045,2768
20180206,2923,2657
20180207,2801,2546
20180208,2750,2500
20180302,3410,3100
20180305,3190,2900
20180306,3080,2800
20180307,2970,2700
20180308,2860,2600
20180309,2750,2500
20180316,2200,2000
20180403,2659,2417
20180404,2567,2333
20180405,2475,2250
20180406,2384,2167
20180409,2200,2000
20180502,2750,2500
20180504,2200,2000
20180507,1987,1806
20180508,1917,1742
20180509,1870,1700
20180604,2127,1933
20180605,2054,1867
20180606,1980,1800
20180607,1907,1733
20180608,1870,1700
20180703,2129,1935
20180704,2059,1871
20180705,1987,1806
20180706,1917,1742
20180709,1870,1700
20180718,2420,2200
20180903,2340,2127
20180904,2259,2053
20180905,2420,2200
20181016,2750,2500
20181026,3080,2800
20181228,3410,3100
20190308,2640,2400
20190417,2200,2000
20190603,2127,1933
20190604,2200,2000
20190806,2420,2200
20190903,2340,2127
20190904,2420,2200
20190918,3080,2800
20191023,2530,2300
20200117,1980,1800
20200310,2420,2200
20200422,2640,2400
20200717,2530,2300
20200731,2310,2100
20200803,2236,2032
20200804,2310,2100
20200903,2090,1900
20201120,1760,1600
20201222,2090,1900
20210104,1955,1777
20210105,2090,1900
20210114,2200,2000
20210120,2530,2300
20210122,2970,2700
20210202,3190,2900
20210203,3076,2796
20210204,2970,2700
20210302,3190,2900
20210308,2970,2700
20210405,3084,2803
20210406,2978,2707
20210407,2970,2700
20210503,2875,2613
20210504,2985,2713
20210505,2970,2700
20210602,3190,2900
20210603,3084,2803
20210604,2978,2707
20210607,2970,2700
20210702,3190,2900
20210705,2985,2713
20210706,2970,2700
20210802,3047,2770
20210803,2970,2700
20210901,3038,2761
20210902,2970,2700
20211001,3740,3400
20211005,4290,3900
20211203,5280,4800
