date,initial,maintenance
20120213,52800,48000
20130212,44000,40000
20130306,42581,38710
20130307,44000,40000
20130430,55000,50000
20131122,46750,42500
20140314,41800,38000
20140401,50600,46000
20140402,48914,44467
20140403,47227,42933
20140404,45540,41400
20140407,41800,38000
20140421,38500,35000
20140501,50600,46000
20140505,45703,41548
20140506,44072,40065
20140507,42440,38581
20140508,40807,37097
20140509,39175,35613
20140512,38500,35000
20140602,48914,44467
20140603,47227,42933
20140604,45540,41400
20140605,43854,39867
20140606,42167,38333
20140609,38500,35000
20140701,50600,46000
20140702,48968,44516
20140703,47336,43032
20140704,45703,41548
20140707,40807,37097
20140708,39175,35613
20140709,38500,35000
20140801,46200,42000
20140804,43219,39290
20140805,41729,37935
20140806,40240,36581
20140807,38749,35226
20140808,38500,35000
20140902,44660,40600
20140903,43120,39200
20140904,41580,37800
20140905,40040,36400
20140908,38500,35000
20140912,41800,38000
20141001,42900,39000
20141006,41800,38000
20141201,42900,39000
20141202,53900,49000
20141203,52161,47419
20141204,51700,47000
20150102,53900,49000
20150105,51700,47000
20150202,53900,49000
20150203,51975,47250
20150204,51700,47000
20150219,54450,49500
20150302,55356,50323
20150303,54450,49500
20150401,57200,52000
20150402,55294,50267
20150403,54450,49500
20150501,57200,52000
20150504,54450,49500
20150601,57200,52000
20150602,55294,50267
20150603,54450,49500
20150619,42900,39000
20150701,44000,40000
20150706,42900,39000
20150708,50600,46000
20150831,51700,47000
20150902,50600,46000
20150904,58300,53000
20160930,47300,43000
20170102,45775,41613
20170103,47300,43000
20170310,41800,38000
20170505,36300,33000
20170630,28600,26000
20171221,25300,23000
20180102,27678,25161
20180103,26756,24323
20180104,25833,23484
20180105,25300,23000
20180112,23650,21500
20180201,26950,24500
20180202,25988,23625
20180205,23650,21500
20180301,26950,24500
20180305,24342,22129
20180306,23650,21500
20180402,26052,23683
20180403,25154,22867
20180404,24255,22050
20180405,23650,21500
20180501,26950,24500
20180502,26081,23710
20180503,25211,22919
20180504,24342,22129
20180507,23650,21500
20180601,30800,28000
20180604,28747,26133
20180605,27720,25200
20180606,27500,25000
20180629,30800,28000
20180713,35420,32200
20180718,45100,41000
20180801,48400,44000
20180806,45278,41161
20180807,45100,41000
20180903,42094,38267
20180904,45100,41000
20180914,37675,34250
20181001,39325,35750
20181002,38057,34597
20181003,37675,34250
20181101,39325,35750
20181105,37675,34250
20181109,40425,36750
20181127,46200,42000
20181221,49500,45000
20190213,40700,37000
20190902,39344,35767
20190903,44000,40000
20190918,48400,44000
20191001,49500,45000
20191002,48400,44000
20191101,49500,45000
20191104,48400,44000
20191202,49500,45000
20191203,48400,44000
20200102,49500,45000
20200106,48400,44000
20200221,40700,37000
20200311,49500,45000
20200316,56100,51000
20200318,66000,60000
20200401,74250,67500
20200402,71775,65250
20200403,69300,63000
20200406,66000,60000
20200501,74250,67500
20200504,67065,60968
20200505,66000,60000
20200506,73700,67000
20200601,81400,74000
20200602,78687,71533
20200603,75974,69067
20200604,73700,67000
20200612,66000,60000
20200701,73700,67000
20200706,66568,60516
20200707,66000,60000
20200724,51700,47000
20200803,53652,48774
20200804,51736,47032
20200805,51700,47000
20200814,44000,40000
20200831,51700,47000
20200902,49977,45433
20200903,48254,43867
20200904,46530,42300
20200907,44000,40000
20201001,51700,47000
20201005,46698,42452
20201006,45029,40935
20201007,44000,40000
20201030,40700,37000
20210723,46750,42500
20211130,53350,48500
